AT ID/ LC ID,ATiM Patient ID,ATiM Consent ID,Anatomic Source From Mouse,Consent Study,Sample Type,Processing Type,Processing Date,Transplant Name,Created By,Date Created,Stock Status,Position In Box,Legacy Information (Colossus ID),Mouse of Origin,Replicate Number,Additional Notes,Passage,Colossus Notes,Found In Inventory
49655-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-12 12:00,X0011-31,peirew@bccrc.ca,2020-06-10 1:37,in stock,B2,SA535X2XB00261,X0011,1,,2,,FALSE
49656-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-12 12:00,X0011-31,peirew@bccrc.ca,2020-06-10 1:37,in stock,B3,SA535X2XB00261,X0011,1,,2,,FALSE
46582-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-05-21 12:00,X0011-32,peirew@bccrc.ca,2020-06-10 0:41,in stock,"D8,",SA535X2XB00262,X0011,2,,2,,FALSE
48607-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2013-05-21 12:00,X0011-32,peirew@bccrc.ca,2020-06-10 1:18,in stock,G9,SA535X2XB00262,X0011,2,,2,,FALSE
46648-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-14 12:00,X0011-231,peirew@bccrc.ca,2020-06-10 0:43,in stock,"C2,",SA535X3XB00373,X0011,1,,3,,FALSE
48554-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-14 12:00,X0011-231,peirew@bccrc.ca,2020-06-10 1:17,in stock,A2,SA535X3XB00373,X0011,1,,3,,FALSE
46424-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-02-04 12:00,X0011-232,peirew@bccrc.ca,2020-06-10 0:39,in stock,"I7,",SA535X3XB00374,X0011,2,,3,,FALSE
46425-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-04 12:00,X0011-232,peirew@bccrc.ca,2020-06-10 0:39,in stock,"I8,",SA535X3XB00374,X0011,2,,3,,FALSE
48699-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-03 12:00,X0011-232,peirew@bccrc.ca,2020-06-10 1:20,in stock,G4,SA535X3XB00374,X0011,2,,3,,FALSE
48535-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-07 12:00,X0011-233,peirew@bccrc.ca,2020-06-10 1:17,in stock,"G7,",SA535X3XB00375,X0011,3,,3,,FALSE
46678-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-18 12:00,X0011-234,peirew@bccrc.ca,2020-06-10 0:43,in stock,"F6,",SA535X3XB00376,X0011,4,,3,,FALSE
48703-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-02-18 12:00,X0011-234,peirew@bccrc.ca,2020-06-10 1:20,in stock,G8,SA535X3XB00376,X0011,4,,3,,FALSE
47085-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-06-05 12:00,X0011-2312,peirew@bccrc.ca,2020-06-10 0:51,out of stock,,SA535X4XB00469,X0011,2,,4,,FALSE
47086-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-06-05 12:00,X0011-2312,peirew@bccrc.ca,2020-06-10 0:51,in stock,G3,SA535X4XB00469,X0011,2,,4,,FALSE
58514-BB,CID0001373,PBC0002732,,,Tissue,,0000-00-00 00:00:00,X0011-2312,bpotvin@bccrc.ca,2021-06-09 14:40,out of stock,,SA535X4XB00469,X0011,2,,4,LC Sample UID: 58514-BB / Patient UID: CID0001373,FALSE
47083-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-06-05 12:00,X0011-2313,peirew@bccrc.ca,2020-06-10 0:51,in stock,F8,SA535X4XB00470,X0011,3,,4,,FALSE
47087-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-06-05 12:00,X0011-2313,peirew@bccrc.ca,2020-06-10 0:51,in stock,G5,SA535X4XB00470,X0011,3,,4,,FALSE
47088-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-06-05 12:00,X0011-2313,peirew@bccrc.ca,2020-06-10 0:51,in stock,G6,SA535X4XB00470,X0011,3,,4,,FALSE
47084-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2014-06-05 12:00,X0011-2314,peirew@bccrc.ca,2020-06-10 0:51,in stock,G1,SA535X4XB00471,X0011,4,,4,,FALSE
47089-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-06-05 12:00,X0011-2314,peirew@bccrc.ca,2020-06-10 0:51,in stock,G7,SA535X4XB00471,X0011,4,,4,,FALSE
47090-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-06-05 12:00,X0011-2314,peirew@bccrc.ca,2020-06-10 0:51,in stock,G8,SA535X4XB00471,X0011,4,,4,,FALSE
47091-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-06-05 12:00,X0011-2314,peirew@bccrc.ca,2020-06-10 0:51,in stock,G9,SA535X4XB00471,X0011,4,,4,,FALSE
46898-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-12 12:00,X0011-23127,peirew@bccrc.ca,2020-06-10 0:47,in stock,B5,SA535X5XB00513,X0011,7,,5,,FALSE
46835-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-08-26 12:00,X0011-23123,peirew@bccrc.ca,2020-06-10 0:46,in stock,"H7,",SA535X5XB00514,X0011,3,,5,,FALSE
46836-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS,2014-08-26 12:00,X0011-23123,peirew@bccrc.ca,2020-06-10 0:46,in stock,"H8,",SA535X5XB00514,X0011,3,,5,,FALSE
46837-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-08-26 12:00,X0011-23123,peirew@bccrc.ca,2020-06-10 0:46,in stock,"H9,",SA535X5XB00514,X0011,3,,5,,FALSE
46909-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-18 12:00,X0011-23122,peirew@bccrc.ca,2020-06-10 0:47,in stock,D3,SA535X5XB00515,X0011,2,,5,,FALSE
46910-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-09-18 12:00,X0011-23122,peirew@bccrc.ca,2020-06-10 0:48,in stock,D4,SA535X5XB00515,X0011,2,,5,,FALSE
46911-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-18 12:00,X0011-23122,peirew@bccrc.ca,2020-06-10 0:48,in stock,D5,SA535X5XB00515,X0011,2,,5,,FALSE
46940-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-23 12:00,X0011-23128,peirew@bccrc.ca,2020-06-10 0:48,in stock,G8,SA535X5XB00516,X0011,8,,5,,FALSE
46941-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-09-23 12:00,X0011-23128,peirew@bccrc.ca,2020-06-10 0:48,in stock,G9,SA535X5XB00516,X0011,8,,5,,FALSE
46942-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-23 12:00,X0011-23128,peirew@bccrc.ca,2020-06-10 0:48,in stock,H1,SA535X5XB00516,X0011,8,,5,,FALSE
46905-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-16 12:00,X0011-23121,peirew@bccrc.ca,2020-06-10 0:47,in stock,C5,SA535X5XB00517,X0011,1,,5,,FALSE
46906-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-16 12:00,X0011-23121,peirew@bccrc.ca,2020-06-10 0:47,out of stock,,SA535X5XB00517,X0011,1,,5,,FALSE
48769-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-08-06 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:21,in stock,H3,SA535X5XB00517,X0011,1,,5,,FALSE
48770-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-08-06 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:21,in stock,H4,SA535X5XB00517,X0011,1,,5,,FALSE
48771-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-08-06 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:21,in stock,H5,SA535X5XB00517,X0011,1,,5,,FALSE
48772-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-08-06 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:21,in stock,H6,SA535X5XB00517,X0011,1,,5,,FALSE
48773-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-08-06 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:21,in stock,H7,SA535X5XB00517,X0011,1,,5,,FALSE
48807-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-08-28 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 1:22,in stock,D1,SA535X5XB00517,X0011,1,,5,,FALSE
57528-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-08-25 12:00,X0011-23121,fkabeer@bccrc.ca,2020-06-10 3:57,in stock,"H5,",,X0011,1,,5,,FALSE
58513-BB,CID0001373,PBC0002732,,,Tissue,,0000-00-00 00:00:00,X0011-23121,bpotvin@bccrc.ca,2021-06-09 14:40,out of stock,,SA535X5XB00517,X0011,1,,5,LC Sample UID: 58513-BB / Patient UID: CID0001373,FALSE
46962-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2014-09-29 12:00,X0011-23126,peirew@bccrc.ca,2020-06-10 0:48,in stock,A7,SA535X5XB00518,X0011,6,,5,,FALSE
46963-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-29 12:00,X0011-23126,peirew@bccrc.ca,2020-06-10 0:49,in stock,A8,SA535X5XB00518,X0011,6,,5,,FALSE
46964-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-29 12:00,X0011-23126,peirew@bccrc.ca,2020-06-10 0:49,in stock,A9,SA535X5XB00518,X0011,6,,5,,FALSE
46907-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-16 12:00,X0011-23124,peirew@bccrc.ca,2020-06-10 0:47,in stock,C8,SA535X5XB00519,X0011,4,,5,,FALSE
46908-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-16 12:00,X0011-23124,peirew@bccrc.ca,2020-06-10 0:47,in stock,D1,SA535X5XB00519,X0011,4,,5,,FALSE
46965-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2014-09-29 12:00,X0011-23125,peirew@bccrc.ca,2020-06-10 0:49,in stock,B1,SA535X5XB00520,X0011,5,,5,,FALSE
46966-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-29 12:00,X0011-23125,peirew@bccrc.ca,2020-06-10 0:49,in stock,B2,SA535X5XB00520,X0011,5,,5,,FALSE
46967-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2014-09-29 12:00,X0011-23125,peirew@bccrc.ca,2020-06-10 0:49,in stock,B3,SA535X5XB00520,X0011,5,,5,,FALSE
48268-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C3,SA535X6XB00754,X0011,1,,6,,FALSE
48269-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C4,SA535X6XB00754,X0011,1,,6,,FALSE
48270-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C5,SA535X6XB00754,X0011,1,,6,,FALSE
48271-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C6,SA535X6XB00754,X0011,1,,6,,FALSE
48272-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C7,SA535X6XB00754,X0011,1,,6,,FALSE
48273-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2016-03-01 12:00,X0011-231211,peirew@bccrc.ca,2020-06-10 1:12,in stock,C8,SA535X6XB00754,X0011,1,,6,,FALSE
48891-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-12 12:00,X0011-231212,fkabeer@bccrc.ca,2020-06-10 1:23,out of stock,,SA535X6XB00755,X0011,2,,6,,FALSE
48892-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-11-12 12:00,X0011-231212,fkabeer@bccrc.ca,2020-06-10 1:23,out of stock,,SA535X6XB00755,X0011,2,,6,,FALSE
48912-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-12 12:00,X0011-231212,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,H1,SA535X6XB00755,X0011,2,,6,,FALSE
49536-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-11-12 12:00,X0011-231212,fkabeer@bccrc.ca,2020-06-10 1:35,in stock,F6,SA535X6XB00755,X0011,2,,6,,FALSE
48884-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-10-16 12:00,X0011-231216,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,D9,SA535X6XB00759,X0011,6,,6,,FALSE
47575-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2015-06-23 12:00,X0011-231217,peirew@bccrc.ca,2020-06-10 1:00,in stock,F8,SA535X6XB00760,X0011,7,,6,,FALSE
47576-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2015-06-23 12:00,X0011-231217,peirew@bccrc.ca,2020-06-10 1:00,in stock,F9,SA535X6XB00760,X0011,7,,6,,FALSE
47577-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-06-23 12:00,X0011-231217,peirew@bccrc.ca,2020-06-10 1:00,in stock,G1,SA535X6XB00760,X0011,7,,6,,FALSE
49578-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-08-25 12:00,X0011-23121B,fkabeer@bccrc.ca,2020-06-10 1:35,in stock,C2,SA535X6XB00765,X0011,B,,6,,FALSE
49579-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-08-25 12:00,X0011-23121B,fkabeer@bccrc.ca,2020-06-10 1:36,in stock,C3,SA535X6XB00765,X0011,B,,6,,FALSE
48908-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-25 12:00,X0011-2312171,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,G6,SA535X7XB00909,X0011,1,,7,,FALSE
48909-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-25 12:00,X0011-2312171,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,G7,SA535X7XB00909,X0011,1,,7,,FALSE
48910-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-11-25 12:00,X0011-2312171,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,G8,SA535X7XB00909,X0011,1,,7,,FALSE
48911-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-11-25 12:00,X0011-2312171,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,G9,SA535X7XB00909,X0011,1,,7,,FALSE
49523-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-11-25 12:00,X0011-2312171,fkabeer@bccrc.ca,2020-06-10 1:35,in stock,E2,SA535X7XB00909,X0011,1,,7,,FALSE
48360-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2015-12-18 12:00,X0011-2312172,peirew@bccrc.ca,2020-06-10 1:14,in stock,D9,SA535X7XB00910,X0011,2,,7,,FALSE
48924-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-12-10 12:00,X0011-2312173,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,I6,SA535X7XB00911,X0011,3,,7,,FALSE
48925-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-12-10 12:00,X0011-2312173,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,I7,SA535X7XB00911,X0011,3,,7,,FALSE
48926-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-12-10 12:00,X0011-2312173,fkabeer@bccrc.ca,2020-06-10 1:24,in stock,I8,SA535X7XB00911,X0011,3,,7,,FALSE
48888-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-06 12:00,X0011-2312174,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,E4,SA535X7XB00912,X0011,4,,7,,FALSE
48889-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-06 12:00,X0011-2312174,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,E5,SA535X7XB00912,X0011,4,,7,,FALSE
48890-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-11-06 12:00,X0011-2312174,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,E6,SA535X7XB00912,X0011,4,,7,,FALSE
49527-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-11-06 12:00,X0011-2312174,fkabeer@bccrc.ca,2020-06-10 1:35,in stock,E6,SA535X7XB00912,X0011,4,,7,,FALSE
48895-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-18 12:00,X0011-2312153,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,F2,SA535X7XB00956,X0011,3,,7,,FALSE
48896-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2015-11-18 12:00,X0011-2312153,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,F3,SA535X7XB00956,X0011,3,,7,,FALSE
48897-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL TISSUE FRAGMENTS WITH STOMACHER,2015-11-18 12:00,X0011-2312153,fkabeer@bccrc.ca,2020-06-10 1:23,in stock,F4,SA535X7XB00956,X0011,3,,7,,FALSE
49525-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS AND TISSUE FRAGMENTS WITH STOMACHER,2015-11-18 12:00,X0011-2312153,fkabeer@bccrc.ca,2020-06-10 1:35,in stock,E4,SA535X7XB00956,X0011,3,,7,,FALSE
