clone,cnv,chr,start,end
A,7,10,2500001,3e+06
A,4,10,26000001,26500000
A,4,10,26500001,2.7e+07
A,4,10,27000001,27500000
A,4,10,27500001,2.8e+07
A,4,10,28000001,28500000
A,4,10,28500001,2.9e+07
A,4,10,29000001,29500000
A,4,10,29500001,3e+07
A,4,10,30000001,30500000
A,7,10,3000001,3500000
A,4,10,30500001,3.1e+07
A,4,10,31000001,31500000
A,4,10,32000001,32500000
A,4,10,32500001,3.3e+07
A,4,10,33000001,33500000
A,4,10,33500001,3.4e+07
A,4,10,34000001,34500000
A,4,10,34500001,3.5e+07
A,4,10,35000001,35500000
A,7,10,3500001,4e+06
A,4,10,35500001,3.6e+07
A,4,10,36000001,36500000
A,4,10,36500001,3.7e+07
A,4,10,37500001,3.8e+07
A,4,10,38000001,38500000
A,7,10,4000001,4500000
A,3,10,43000001,43500000
A,3,10,43500001,4.4e+07
A,3,10,44000001,44500000
A,3,10,45000001,45500000
A,7,10,4500001,5e+06
A,3,10,45500001,4.6e+07
A,3,10,49500001,5e+07
A,3,10,50000001,50500000
A,7,10,500001,1e+06
A,3,10,50500001,5.1e+07
A,3,10,52500001,5.3e+07
A,5,10,53000001,53500000
A,5,10,54000001,54500000
A,5,10,54500001,5.5e+07
A,5,10,55000001,55500000
A,7,10,5500001,6e+06
A,5,10,55500001,5.6e+07
A,5,10,56000001,56500000
A,5,10,56500001,5.7e+07
A,5,10,57500001,5.8e+07
A,5,10,58000001,58500000
A,5,10,58500001,5.9e+07
A,5,10,59000001,59500000
A,5,10,59500001,6e+07
A,5,10,60000001,60500000
A,5,10,60500001,6.1e+07
A,5,10,61000001,61500000
A,5,10,61500001,6.2e+07
A,5,10,62000001,62500000
A,5,10,62500001,6.3e+07
A,5,10,63000001,63500000
A,5,10,63500001,6.4e+07
A,5,10,64500001,6.5e+07
A,5,10,65000001,65500000
A,5,10,65500001,6.6e+07
A,5,10,66000001,66500000
A,5,10,66500001,6.7e+07
A,5,10,67000001,67500000
A,5,10,67500001,6.8e+07
A,5,10,68000001,68500000
A,5,10,68500001,6.9e+07
A,3,10,69500001,7e+07
A,3,10,70000001,70500000
A,3,10,70500001,7.1e+07
A,3,10,71000001,71500000
A,2,10,71500001,7.2e+07
A,2,10,72000001,72500000
A,2,10,72500001,7.3e+07
A,2,10,73000001,73500000
A,2,10,73500001,7.4e+07
A,2,10,74000001,74500000
A,2,10,74500001,7.5e+07
A,7,10,7500001,8e+06
A,2,10,75500001,7.6e+07
A,2,10,76000001,76500000
A,2,10,76500001,7.7e+07
A,2,10,77000001,77500000
A,2,10,77500001,7.8e+07
A,2,10,78000001,78500000
A,2,10,78500001,7.9e+07
A,2,10,79000001,79500000
A,2,10,80000001,80500000
A,5,10,8000001,8500000
A,2,10,80500001,8.1e+07
A,2,10,82000001,82500000
A,2,10,82500001,8.3e+07
A,2,10,83000001,83500000
A,2,10,83500001,8.4e+07
A,2,10,84000001,84500000
A,2,10,84500001,8.5e+07
A,2,10,85000001,85500000
A,5,10,8500001,9e+06
A,2,10,85500001,8.6e+07
A,2,10,86000001,86500000
A,2,10,87500001,8.8e+07
A,2,10,88000001,88500000
A,2,10,89500001,9e+07
A,2,10,90000001,90500000
A,5,10,9000001,9500000
A,2,10,90500001,9.1e+07
A,2,10,91000001,91500000
A,2,10,91500001,9.2e+07
A,2,10,92000001,92500000
A,2,10,92500001,9.3e+07
A,2,10,93500001,9.4e+07
A,2,10,94000001,94500000
A,2,10,94500001,9.5e+07
A,2,10,95000001,95500000
A,5,10,9500001,1e+07
A,2,10,95500001,9.6e+07
A,2,10,96000001,96500000
A,1,10,97000001,97500000
A,1,10,97500001,9.8e+07
A,1,10,98000001,98500000
A,1,10,98500001,9.9e+07
A,1,10,99000001,99500000
A,1,10,99500001,1e+08
A,2,11,10000001,10500000
A,3,11,100500001,1.01e+08
A,3,11,101000001,101500000
A,3,11,102000001,102500000
A,3,11,102500001,1.03e+08
A,1,11,103000001,103500000
A,1,11,103500001,1.04e+08
A,1,11,104000001,104500000
A,1,11,104500001,1.05e+08
A,1,11,105000001,105500000
A,2,11,10500001,1.1e+07
A,1,11,105500001,1.06e+08
A,1,11,106000001,106500000
A,1,11,106500001,1.07e+08
A,1,11,107500001,1.08e+08
A,1,11,108500001,1.09e+08
A,1,11,109500001,1.1e+08
A,2,11,11000001,11500000
A,1,11,110500001,1.11e+08
A,1,11,111000001,111500000
A,1,11,111500001,1.12e+08
A,1,11,112000001,112500000
A,1,11,112500001,1.13e+08
A,1,11,113000001,113500000
A,1,11,113500001,1.14e+08
A,1,11,114000001,114500000
A,1,11,114500001,1.15e+08
A,1,11,115000001,115500000
A,2,11,11500001,1.2e+07
A,1,11,115500001,1.16e+08
A,1,11,116000001,116500000
A,1,11,116500001,1.17e+08
A,1,11,117000001,117500000
A,1,11,117500001,1.18e+08
A,2,11,118000001,118500000
A,2,11,118500001,1.19e+08
A,2,11,119000001,119500000
A,2,11,119500001,1.2e+08
A,2,11,120000001,120500000
A,2,11,12000001,12500000
A,2,11,120500001,1.21e+08
A,2,11,121000001,121500000
A,2,11,122000001,122500000
A,2,11,122500001,1.23e+08
A,2,11,123000001,123500000
A,2,11,123500001,1.24e+08
A,2,11,124500001,1.25e+08
A,2,11,125000001,125500000
A,2,11,12500001,1.3e+07
A,2,11,125500001,1.26e+08
A,2,11,126000001,126500000
A,2,11,126500001,1.27e+08
A,2,11,127000001,127500000
A,2,11,128000001,128500000
A,2,11,128500001,1.29e+08
A,2,11,129000001,129500000
A,2,11,129500001,1.3e+08
A,2,11,130000001,130500000
A,3,11,13000001,13500000
A,2,11,130500001,1.31e+08
A,2,11,131000001,131500000
A,2,11,131500001,1.32e+08
A,2,11,132000001,132500000
A,2,11,132500001,1.33e+08
A,2,11,133000001,133500000
A,2,11,134000001,134500000
A,3,11,14000001,14500000
A,3,11,15000001,15500000
A,4,11,1500001,2e+06
A,3,11,15500001,1.6e+07
A,3,11,16000001,16500000
A,3,11,16500001,1.7e+07
A,3,11,17000001,17500000
A,3,11,17500001,1.8e+07
A,3,11,18000001,18500000
A,3,11,18500001,1.9e+07
A,3,11,19000001,19500000
A,3,11,19500001,2e+07
A,3,11,20000001,20500000
A,4,11,2000001,2500000
A,3,11,20500001,2.1e+07
A,3,11,21000001,21500000
A,3,11,21500001,2.2e+07
A,3,11,23500001,2.4e+07
A,3,11,24500001,2.5e+07
A,3,11,25000001,25500000
A,4,11,2500001,3e+06
A,3,11,25500001,2.6e+07
A,3,11,26000001,26500000
A,3,11,26500001,2.7e+07
A,3,11,27000001,27500000
A,3,11,27500001,2.8e+07
A,3,11,28500001,2.9e+07
A,3,11,29000001,29500000
A,3,11,29500001,3e+07
A,3,11,30000001,30500000
A,3,11,30500001,3.1e+07
A,3,11,31500001,3.2e+07
A,3,11,32000001,32500000
A,3,11,32500001,3.3e+07
A,3,11,33000001,33500000
A,3,11,33500001,3.4e+07
A,3,11,34000001,34500000
A,3,11,34500001,3.5e+07
A,3,11,35000001,35500000
A,4,11,3500001,4e+06
A,3,11,35500001,3.6e+07
A,3,11,36000001,36500000
A,3,11,37000001,37500000
A,3,11,37500001,3.8e+07
A,3,11,38000001,38500000
A,3,11,38500001,3.9e+07
A,3,11,39000001,39500000
A,3,11,40000001,40500000
A,3,11,40500001,4.1e+07
A,3,11,41000001,41500000
A,3,11,41500001,4.2e+07
A,3,11,42000001,42500000
A,3,11,42500001,4.3e+07
A,3,11,43000001,43500000
A,3,11,43500001,4.4e+07
A,3,11,44000001,44500000
A,3,11,44500001,4.5e+07
A,3,11,45000001,45500000
A,2,11,4500001,5e+06
A,3,11,45500001,4.6e+07
A,3,11,46000001,46500000
A,3,11,46500001,4.7e+07
A,3,11,47000001,47500000
A,3,11,47500001,4.8e+07
A,3,11,48000001,48500000
A,3,11,49000001,49500000
A,3,11,50000001,50500000
A,4,11,500001,1e+06
A,2,11,5500001,6e+06
A,3,11,55500001,5.6e+07
A,3,11,56500001,5.7e+07
A,3,11,57000001,57500000
A,3,11,58000001,58500000
A,3,11,58500001,5.9e+07
A,3,11,59000001,59500000
A,3,11,59500001,6e+07
A,3,11,61500001,6.2e+07
A,3,11,62000001,62500000
A,3,11,62500001,6.3e+07
A,3,11,63500001,6.4e+07
A,3,11,64000001,64500000
A,3,11,64500001,6.5e+07
A,3,11,65000001,65500000
A,2,11,6500001,7e+06
A,3,11,65500001,6.6e+07
A,3,11,66000001,66500000
A,3,11,66500001,6.7e+07
A,3,11,67000001,67500000
A,3,11,68000001,68500000
A,3,11,68500001,6.9e+07
A,3,11,70000001,70500000
A,3,11,70500001,7.1e+07
A,3,11,71000001,71500000
A,3,11,71500001,7.2e+07
A,3,11,72000001,72500000
A,3,11,72500001,7.3e+07
A,3,11,73000001,73500000
A,3,11,73500001,7.4e+07
A,3,11,74500001,7.5e+07
A,3,11,75000001,75500000
A,3,11,75500001,7.6e+07
A,3,11,76000001,76500000
A,3,11,76500001,7.7e+07
A,3,11,77000001,77500000
A,3,11,77500001,7.8e+07
A,3,11,78500001,7.9e+07
A,3,11,79000001,79500000
A,3,11,79500001,8e+07
A,3,11,80000001,80500000
A,2,11,8000001,8500000
A,3,11,80500001,8.1e+07
A,3,11,81000001,81500000
A,3,11,82000001,82500000
A,3,11,82500001,8.3e+07
A,3,11,83000001,83500000
A,3,11,83500001,8.4e+07
A,3,11,84000001,84500000
A,3,11,84500001,8.5e+07
A,2,11,8500001,9e+06
A,3,11,85500001,8.6e+07
A,3,11,86000001,86500000
A,3,11,88000001,88500000
A,3,11,88500001,8.9e+07
A,2,11,9000001,9500000
A,3,11,91000001,91500000
A,3,11,91500001,9.2e+07
A,3,11,92000001,92500000
A,3,11,94000001,94500000
A,3,11,94500001,9.5e+07
A,2,11,9500001,1e+07
A,3,11,95500001,9.6e+07
A,3,11,97000001,97500000
A,3,11,97500001,9.8e+07
A,3,11,98000001,98500000
A,3,11,98500001,9.9e+07
A,3,11,99000001,99500000
A,3,11,99500001,1e+08
A,2,12,100000001,100500000
A,2,12,10000001,10500000
A,2,12,100500001,1.01e+08
A,2,12,101000001,101500000
A,2,12,102000001,102500000
A,2,12,102500001,1.03e+08
A,2,12,103000001,103500000
A,2,12,103500001,1.04e+08
A,2,12,104000001,104500000
A,2,12,104500001,1.05e+08
A,2,12,105000001,105500000
A,2,12,105500001,1.06e+08
A,2,12,106500001,1.07e+08
A,2,12,107000001,107500000
A,2,12,107500001,1.08e+08
A,2,12,108000001,108500000
A,2,12,108500001,1.09e+08
A,2,12,109500001,1.1e+08
A,2,12,110000001,110500000
A,2,12,110500001,1.11e+08
A,2,12,111000001,111500000
A,2,12,111500001,1.12e+08
A,2,12,112000001,112500000
A,2,12,112500001,1.13e+08
A,2,12,113000001,113500000
A,2,12,113500001,1.14e+08
A,2,12,114000001,114500000
A,2,12,114500001,1.15e+08
A,2,12,115000001,115500000
A,2,12,11500001,1.2e+07
A,2,12,115500001,1.16e+08
A,2,12,116000001,116500000
A,2,12,116500001,1.17e+08
A,2,12,117000001,117500000
A,2,12,117500001,1.18e+08
A,2,12,118000001,118500000
A,2,12,118500001,1.19e+08
A,2,12,119000001,119500000
A,2,12,119500001,1.2e+08
A,2,12,120000001,120500000
A,2,12,12000001,12500000
A,2,12,120500001,1.21e+08
A,2,12,121000001,121500000
A,2,12,121500001,1.22e+08
A,2,12,122000001,122500000
A,2,12,123000001,123500000
A,2,12,123500001,1.24e+08
A,2,12,124000001,124500000
A,2,12,124500001,1.25e+08
A,2,12,125000001,125500000
A,2,12,12500001,1.3e+07
A,2,12,125500001,1.26e+08
A,2,12,126000001,126500000
A,2,12,127000001,127500000
A,2,12,127500001,1.28e+08
A,2,12,128000001,128500000
A,2,12,128500001,1.29e+08
A,2,12,129000001,129500000
A,2,12,129500001,1.3e+08
A,2,12,130000001,130500000
A,2,12,13000001,13500000
A,2,12,130500001,1.31e+08
A,2,12,131000001,131500000
A,2,12,131500001,1.32e+08
A,2,12,132000001,132500000
A,2,12,133000001,133500000
A,2,12,14000001,14500000
A,2,12,14500001,1.5e+07
A,4,12,15000001,15500000
A,4,12,1500001,2e+06
A,4,12,15500001,1.6e+07
A,4,12,16000001,16500000
A,4,12,16500001,1.7e+07
A,4,12,17000001,17500000
A,4,12,18000001,18500000
A,4,12,18500001,1.9e+07
A,4,12,19000001,19500000
A,4,12,19500001,2e+07
A,4,12,20000001,20500000
A,4,12,2000001,2500000
A,4,12,20500001,2.1e+07
A,4,12,22000001,22500000
A,4,12,23000001,23500000
A,4,12,23500001,2.4e+07
A,4,12,24000001,24500000
A,4,12,24500001,2.5e+07
A,4,12,25000001,25500000
A,4,12,2500001,3e+06
A,4,12,26000001,26500000
A,4,12,26500001,2.7e+07
A,4,12,27000001,27500000
A,4,12,27500001,2.8e+07
A,4,12,28000001,28500000
A,4,12,28500001,2.9e+07
A,4,12,29000001,29500000
A,4,12,29500001,3e+07
A,4,12,30000001,30500000
A,4,12,3000001,3500000
A,4,12,30500001,3.1e+07
A,4,12,31000001,31500000
A,4,12,31500001,3.2e+07
A,4,12,32000001,32500000
A,4,12,32500001,3.3e+07
A,4,12,33000001,33500000
A,4,12,33500001,3.4e+07
A,4,12,34000001,34500000
A,4,12,38000001,38500000
A,4,12,38500001,3.9e+07
A,4,12,39500001,4e+07
A,4,12,4000001,4500000
A,4,12,40500001,4.1e+07
A,4,12,41000001,41500000
A,4,12,41500001,4.2e+07
A,4,12,42500001,4.3e+07
A,4,12,43000001,43500000
A,4,12,44000001,44500000
A,4,12,4500001,5e+06
A,4,12,45500001,4.6e+07
A,4,12,46000001,46500000
A,4,12,46500001,4.7e+07
A,4,12,47000001,47500000
A,4,12,47500001,4.8e+07
A,4,12,48000001,48500000
A,2,12,49000001,49500000
A,2,12,49500001,5e+07
A,2,12,50000001,50500000
A,4,12,5000001,5500000
A,4,12,500001,1e+06
A,2,12,50500001,5.1e+07
A,2,12,51000001,51500000
A,2,12,52000001,52500000
A,2,12,52500001,5.3e+07
A,2,12,53000001,53500000
A,2,12,53500001,5.4e+07
A,2,12,54000001,54500000
A,2,12,54500001,5.5e+07
A,4,12,5500001,6e+06
A,2,12,56000001,56500000
A,2,12,56500001,5.7e+07
A,2,12,57000001,57500000
A,2,12,57500001,5.8e+07
A,2,12,59000001,59500000
A,2,12,59500001,6e+07
A,2,12,60000001,60500000
A,4,12,6000001,6500000
A,2,12,60500001,6.1e+07
A,2,12,61000001,61500000
A,2,12,62500001,6.3e+07
A,2,12,63000001,63500000
A,2,12,65000001,65500000
A,4,12,6500001,7e+06
A,2,12,65500001,6.6e+07
A,2,12,66000001,66500000
A,2,12,66500001,6.7e+07
A,2,12,67000001,67500000
A,2,12,67500001,6.8e+07
A,2,12,68500001,6.9e+07
A,2,12,69000001,69500000
A,2,12,69500001,7e+07
A,2,12,70500001,7.1e+07
A,2,12,71500001,7.2e+07
A,2,12,72000001,72500000
A,2,12,72500001,7.3e+07
A,2,12,73000001,73500000
A,2,12,74000001,74500000
A,2,12,74500001,7.5e+07
A,4,12,7500001,8e+06
A,2,12,75500001,7.6e+07
A,2,12,76000001,76500000
A,2,12,76500001,7.7e+07
A,2,12,77000001,77500000
A,2,12,77500001,7.8e+07
A,2,12,78000001,78500000
A,2,12,78500001,7.9e+07
A,2,12,79000001,79500000
A,2,12,79500001,8e+07
A,2,12,80000001,80500000
A,2,12,81000001,81500000
A,2,12,81500001,8.2e+07
A,2,12,82000001,82500000
A,2,12,82500001,8.3e+07
A,2,12,83000001,83500000
A,2,12,84500001,8.5e+07
A,2,12,85000001,85500000
A,2,12,86000001,86500000
A,2,12,86500001,8.7e+07
A,2,12,87500001,8.8e+07
A,2,12,88500001,8.9e+07
A,2,12,89500001,9e+07
A,2,12,90000001,90500000
A,4,12,9000001,9500000
A,2,12,90500001,9.1e+07
A,2,12,91000001,91500000
A,2,12,91500001,9.2e+07
A,2,12,92000001,92500000
A,2,12,92500001,9.3e+07
A,2,12,93500001,9.4e+07
A,2,12,94000001,94500000
A,2,12,94500001,9.5e+07
A,2,12,95000001,95500000
A,2,12,95500001,9.6e+07
A,2,12,96500001,9.7e+07
A,2,12,97000001,97500000
A,2,12,97500001,9.8e+07
A,2,12,98500001,9.9e+07
A,2,12,99000001,99500000
A,2,12,99500001,1e+08
A,4,13,100000001,100500000
A,4,13,100500001,1.01e+08
A,5,13,101000001,101500000
A,5,13,101500001,1.02e+08
A,5,13,102000001,102500000
A,5,13,102500001,1.03e+08
A,5,13,103000001,103500000
A,5,13,103500001,1.04e+08
A,5,13,104000001,104500000
A,5,13,104500001,1.05e+08
A,5,13,105000001,105500000
A,5,13,105500001,1.06e+08
A,5,13,106000001,106500000
A,5,13,106500001,1.07e+08
A,5,13,107000001,107500000
A,5,13,107500001,1.08e+08
A,5,13,108000001,108500000
A,5,13,108500001,1.09e+08
A,7,13,109500001,1.1e+08
A,7,13,110000001,110500000
A,7,13,110500001,1.11e+08
A,7,13,111000001,111500000
A,7,13,111500001,1.12e+08
A,7,13,113000001,113500000
A,7,13,113500001,1.14e+08
A,2,13,20500001,2.1e+07
A,2,13,21000001,21500000
A,2,13,21500001,2.2e+07
A,2,13,22000001,22500000
A,2,13,22500001,2.3e+07
A,2,13,23000001,23500000
A,2,13,23500001,2.4e+07
A,2,13,24000001,24500000
A,2,13,24500001,2.5e+07
A,2,13,25000001,25500000
A,2,13,25500001,2.6e+07
A,2,13,26000001,26500000
A,2,13,26500001,2.7e+07
A,2,13,27000001,27500000
A,2,13,27500001,2.8e+07
A,2,13,28000001,28500000
A,2,13,28500001,2.9e+07
A,2,13,29000001,29500000
A,2,13,29500001,3e+07
A,2,13,30500001,3.1e+07
A,2,13,31000001,31500000
A,2,13,32000001,32500000
A,2,13,32500001,3.3e+07
A,2,13,33000001,33500000
A,2,13,33500001,3.4e+07
A,2,13,34000001,34500000
A,2,13,34500001,3.5e+07
A,2,13,35500001,3.6e+07
A,2,13,36000001,36500000
A,2,13,36500001,3.7e+07
A,2,13,37000001,37500000
A,2,13,37500001,3.8e+07
A,2,13,38000001,38500000
A,2,13,38500001,3.9e+07
A,2,13,39000001,39500000
A,2,13,39500001,4e+07
A,2,13,40000001,40500000
A,2,13,40500001,4.1e+07
A,2,13,41500001,4.2e+07
A,2,13,42000001,42500000
A,2,13,42500001,4.3e+07
A,2,13,43500001,4.4e+07
A,2,13,44000001,44500000
A,2,13,44500001,4.5e+07
A,2,13,45000001,45500000
A,2,13,45500001,4.6e+07
A,2,13,46500001,4.7e+07
A,2,13,47000001,47500000
A,2,13,47500001,4.8e+07
A,2,13,48500001,4.9e+07
A,2,13,50000001,50500000
A,2,13,50500001,5.1e+07
A,2,13,51000001,51500000
A,2,13,51500001,5.2e+07
A,2,13,52000001,52500000
A,2,13,53000001,53500000
A,2,13,53500001,5.4e+07
A,2,13,54000001,54500000
A,2,13,54500001,5.5e+07
A,2,13,55000001,55500000
A,2,13,55500001,5.6e+07
A,2,13,56000001,56500000
A,2,13,56500001,5.7e+07
A,2,13,57000001,57500000
A,2,13,58000001,58500000
A,2,13,58500001,5.9e+07
A,2,13,59500001,6e+07
A,2,13,60000001,60500000
A,2,13,60500001,6.1e+07
A,2,13,61000001,61500000
A,2,13,61500001,6.2e+07
A,2,13,62000001,62500000
A,2,13,62500001,6.3e+07
A,2,13,63000001,63500000
A,2,13,63500001,6.4e+07
A,2,13,64000001,64500000
A,2,13,64500001,6.5e+07
A,2,13,65000001,65500000
A,2,13,65500001,6.6e+07
A,2,13,66000001,66500000
A,2,13,66500001,6.7e+07
A,2,13,67000001,67500000
A,2,13,67500001,6.8e+07
A,2,13,68000001,68500000
A,2,13,68500001,6.9e+07
A,2,13,69000001,69500000
A,2,13,69500001,7e+07
A,2,13,70000001,70500000
A,2,13,70500001,7.1e+07
A,2,13,71000001,71500000
A,2,13,71500001,7.2e+07
A,2,13,72000001,72500000
A,2,13,72500001,7.3e+07
A,2,13,73000001,73500000
A,2,13,73500001,7.4e+07
A,2,13,74000001,74500000
A,2,13,74500001,7.5e+07
A,2,13,75500001,7.6e+07
A,2,13,76000001,76500000
A,2,13,76500001,7.7e+07
A,2,13,77500001,7.8e+07
A,2,13,78000001,78500000
A,2,13,78500001,7.9e+07
A,2,13,79000001,79500000
A,2,13,79500001,8e+07
A,2,13,80000001,80500000
A,2,13,80500001,8.1e+07
A,2,13,81000001,81500000
A,2,13,81500001,8.2e+07
A,2,13,82000001,82500000
A,4,13,83000001,83500000
A,4,13,83500001,8.4e+07
A,4,13,84000001,84500000
A,4,13,84500001,8.5e+07
A,4,13,85000001,85500000
A,4,13,85500001,8.6e+07
A,4,13,86000001,86500000
A,4,13,87000001,87500000
A,4,13,87500001,8.8e+07
A,4,13,88000001,88500000
A,4,13,88500001,8.9e+07
A,4,13,89000001,89500000
A,4,13,89500001,9e+07
A,4,13,90000001,90500000
A,4,13,90500001,9.1e+07
A,4,13,91000001,91500000
A,4,13,91500001,9.2e+07
A,4,13,92000001,92500000
A,4,13,92500001,9.3e+07
A,4,13,93500001,9.4e+07
A,4,13,94000001,94500000
A,4,13,94500001,9.5e+07
A,4,13,95000001,95500000
A,4,13,95500001,9.6e+07
A,4,13,96000001,96500000
A,4,13,96500001,9.7e+07
A,4,13,97000001,97500000
A,4,13,97500001,9.8e+07
A,4,13,98500001,9.9e+07
A,4,13,99000001,99500000
A,4,13,99500001,1e+08
A,2,14,100000001,100500000
A,2,14,100500001,1.01e+08
A,2,14,101000001,101500000
A,2,14,101500001,1.02e+08
A,2,14,102000001,102500000
A,2,14,102500001,1.03e+08
A,2,14,103000001,103500000
A,2,14,103500001,1.04e+08
A,2,14,104000001,104500000
A,2,14,104500001,1.05e+08
A,2,14,105000001,105500000
A,2,14,21000001,21500000
A,2,14,21500001,2.2e+07
A,2,14,22000001,22500000
A,2,14,22500001,2.3e+07
A,2,14,23000001,23500000
A,2,14,23500001,2.4e+07
A,2,14,25000001,25500000
A,2,14,25500001,2.6e+07
A,2,14,26000001,26500000
A,2,14,26500001,2.7e+07
A,2,14,27500001,2.8e+07
A,2,14,28000001,28500000
A,2,14,29000001,29500000
A,2,14,29500001,3e+07
A,2,14,30000001,30500000
A,2,14,31500001,3.2e+07
A,2,14,32500001,3.3e+07
A,2,14,33000001,33500000
A,2,14,33500001,3.4e+07
A,2,14,34000001,34500000
A,2,14,35000001,35500000
A,2,14,35500001,3.6e+07
A,2,14,36000001,36500000
A,2,14,37000001,37500000
A,2,14,37500001,3.8e+07
A,2,14,38000001,38500000
A,2,14,38500001,3.9e+07
A,2,14,39000001,39500000
A,2,14,39500001,4e+07
A,2,14,41000001,41500000
A,2,14,41500001,4.2e+07
A,2,14,42000001,42500000
A,2,14,42500001,4.3e+07
A,2,14,43000001,43500000
A,2,14,44000001,44500000
A,2,14,44500001,4.5e+07
A,2,14,46500001,4.7e+07
A,2,14,47000001,47500000
A,2,14,47500001,4.8e+07
A,2,14,48000001,48500000
A,2,14,49000001,49500000
A,2,14,49500001,5e+07
A,2,14,50000001,50500000
A,2,14,50500001,5.1e+07
A,2,14,51000001,51500000
A,2,14,51500001,5.2e+07
A,2,14,52000001,52500000
A,2,14,52500001,5.3e+07
A,2,14,53000001,53500000
A,2,14,53500001,5.4e+07
A,2,14,54000001,54500000
A,2,14,54500001,5.5e+07
A,2,14,55000001,55500000
A,2,14,55500001,5.6e+07
A,2,14,56500001,5.7e+07
A,2,14,57000001,57500000
A,2,14,57500001,5.8e+07
A,2,14,58000001,58500000
A,2,14,58500001,5.9e+07
A,2,14,59000001,59500000
A,2,14,59500001,6e+07
A,2,14,60000001,60500000
A,2,14,60500001,6.1e+07
A,2,14,61000001,61500000
A,2,14,62000001,62500000
A,2,14,62500001,6.3e+07
A,2,14,64000001,64500000
A,2,14,64500001,6.5e+07
A,2,14,65000001,65500000
A,2,14,65500001,6.6e+07
A,2,14,66000001,66500000
A,2,14,66500001,6.7e+07
A,2,14,67000001,67500000
A,2,14,67500001,6.8e+07
A,2,14,68000001,68500000
A,2,14,68500001,6.9e+07
A,2,14,69000001,69500000
A,2,14,69500001,7e+07
A,2,14,70000001,70500000
A,2,14,70500001,7.1e+07
A,2,14,71500001,7.2e+07
A,2,14,72500001,7.3e+07
A,2,14,73000001,73500000
A,2,14,73500001,7.4e+07
A,2,14,74000001,74500000
A,2,14,74500001,7.5e+07
A,2,14,75000001,75500000
A,2,14,75500001,7.6e+07
A,2,14,76000001,76500000
A,2,14,76500001,7.7e+07
A,2,14,77000001,77500000
A,2,14,77500001,7.8e+07
A,2,14,78000001,78500000
A,2,14,78500001,7.9e+07
A,2,14,79000001,79500000
A,2,14,80000001,80500000
A,2,14,80500001,8.1e+07
A,2,14,81000001,81500000
A,2,14,81500001,8.2e+07
A,2,14,82000001,82500000
A,2,14,82500001,8.3e+07
A,2,14,83000001,83500000
A,2,14,83500001,8.4e+07
A,2,14,84000001,84500000
A,2,14,84500001,8.5e+07
A,2,14,85000001,85500000
A,2,14,85500001,8.6e+07
A,2,14,87000001,87500000
A,2,14,87500001,8.8e+07
A,2,14,88000001,88500000
A,2,14,88500001,8.9e+07
A,2,14,89000001,89500000
A,2,14,89500001,9e+07
