gene_symbol,gene,attribute,Reference
SSR4,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FKBP2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL8,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT81,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ACTG1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS19,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CEACAM5,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS5,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
EEF1A1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
VIM,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL18A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ALDH1A1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPSA,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS24,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ACTB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
DUSP1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RHOB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL18,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FAM83A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MSLN,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FGB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
DKK1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS3A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS4Y1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FXYD2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ID3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
EFNA1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FOSB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RIMKLB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
JUNB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CASC15,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CYP24A1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ATP6V1A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LDHB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FGG,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PHPT1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ANXA4,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SOX4,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
NM23,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
RKIP,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
MKK4,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
MKK6,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
MKK7,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
KAI1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
CD44,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
E-cadherin,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
Gelsolin,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
RhoGDI2,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
DLC-1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
KISS1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
SSeCKS,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
Gravin,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
AKAP12,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
Caspase-8,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
GAS1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
BRMS1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
MYC,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
miR-146a/b,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
miR-206,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
miR-335,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
LncRNA LET,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
NKILA,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
Cadm1,,negative,"Laboratory Investigation volume 98, pages 198–210 (2018)"
Amf,,positive,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
Hgf,,positive,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
TGFB,,positive,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
MMP,,positive,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
uPA/PLAU,,positive,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
NM23,,negative,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
KISS1,,negative,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
MKK4,,negative,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
CDH1,,negative,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
NDRG1,,negative,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1786.2 (2008): 87-104.
IRF7,,negative,"Nature Medicine volume 18, pages1224–1231(2012)"
CLN8,219340_s_at,,The Lancet 365.9460 (2005): 671-679.
,217771_at,,The Lancet 365.9460 (2005): 671-679.
,202418_at,,The Lancet 365.9460 (2005): 671-679.
IL18,206295_at,,The Lancet 365.9460 (2005): 671-679.
,201091_s_at,,The Lancet 365.9460 (2005): 671-679.
,204015_s_at,,The Lancet 365.9460 (2005): 671-679.
,200726_at,,The Lancet 365.9460 (2005): 671-679.
,200965_s_at,,The Lancet 365.9460 (2005): 671-679.
,210314_x_at,,The Lancet 365.9460 (2005): 671-679.
,221882_s_at,,The Lancet 365.9460 (2005): 671-679.
,217767_at,,The Lancet 365.9460 (2005): 671-679.
,219588_s_at,,The Lancet 365.9460 (2005): 671-679.
C11ORF9,204073_s_at,,The Lancet 365.9460 (2005): 671-679.
,212567_s_at,,The Lancet 365.9460 (2005): 671-679.
,211382_s_at,,The Lancet 365.9460 (2005): 671-679.
CAP-C,201663_s_at,,The Lancet 365.9460 (2005): 671-679.
OR12D2,221344_at,,The Lancet 365.9460 (2005): 671-679.
ORC3,210028_s_at,,The Lancet 365.9460 (2005): 671-679.
PRO2000,218782_s_at,,The Lancet 365.9460 (2005): 671-679.
,201664_at,,The Lancet 365.9460 (2005): 671-679.
KIAA0748,219724_s_at,,The Lancet 365.9460 (2005): 671-679.
DUSP4,204014_at,,The Lancet 365.9460 (2005): 671-679.
,212014_x_at,,The Lancet 365.9460 (2005): 671-679.
PLK,202240_at,,The Lancet 365.9460 (2005): 671-679.
CNK1,204740_at,,The Lancet 365.9460 (2005): 671-679.
H4FH,208180_s_at,,The Lancet 365.9460 (2005): 671-679.
FEN1,204768_s_at,,The Lancet 365.9460 (2005): 671-679.
FKBP2,203391_at,,The Lancet 365.9460 (2005): 671-679.
,211762_s_at,,The Lancet 365.9460 (2005): 671-679.
LOC51093,218914_at,,The Lancet 365.9460 (2005): 671-679.
MGC11335,221028_s_at,,The Lancet 365.9460 (2005): 671-679.
,211779_x_at,,The Lancet 365.9460 (2005): 671-679.
FLJ23468,218883_s_at,,The Lancet 365.9460 (2005): 671-679.
,204888_s_at,,The Lancet 365.9460 (2005): 671-679.
FACTP140,217815_at,,The Lancet 365.9460 (2005): 671-679.
,201368_at,,The Lancet 365.9460 (2005): 671-679.
ARHGDIB,201288_at,,The Lancet 365.9460 (2005): 671-679.
PSMC2,201068_s_at,,The Lancet 365.9460 (2005): 671-679.
,218478_s_at,,The Lancet 365.9460 (2005): 671-679.
,214919_s_at,,The Lancet 365.9460 (2005): 671-679.
,209835_x_at,,The Lancet 365.9460 (2005): 671-679.
,217471_at,,The Lancet 365.9460 (2005): 671-679.
SLC35A1,203306_s_at,,The Lancet 365.9460 (2005): 671-679.
CCNE2,205034_at,,The Lancet 365.9460 (2005): 671-679.
,221816_s_at,,The Lancet 365.9460 (2005): 671-679.
POLQ,219510_at,,The Lancet 365.9460 (2005): 671-679.
,217102_at,,The Lancet 365.9460 (2005): 671-679.
CANP,208683_at,,The Lancet 365.9460 (2005): 671-679.
,215510_at,,The Lancet 365.9460 (2005): 671-679.
FLJ20517,218533_s_at,,The Lancet 365.9460 (2005): 671-679.
,215633_x_at,,The Lancet 365.9460 (2005): 671-679.
,221928_at,,The Lancet 365.9460 (2005): 671-679.
,214806_at,,The Lancet 365.9460 (2005): 671-679.
EEF1A2,204540_at,,The Lancet 365.9460 (2005): 671-679.
,221916_at,,The Lancet 365.9460 (2005): 671-679.
,216693_x_at,,The Lancet 365.9460 (2005): 671-679.
,209500_x_at,,The Lancet 365.9460 (2005): 671-679.
,209524_at,,The Lancet 365.9460 (2005): 671-679.
MMP23A,207118_s_at,,The Lancet 365.9460 (2005): 671-679.
,211040_x_at,,The Lancet 365.9460 (2005): 671-679.
FLJ12994,218430_s_at,,The Lancet 365.9460 (2005): 671-679.
,217404_s_at,,The Lancet 365.9460 (2005): 671-679.
GAS2,205848_at,,The Lancet 365.9460 (2005): 671-679.
,214915_at,,The Lancet 365.9460 (2005): 671-679.
,216010_x_at,,The Lancet 365.9460 (2005): 671-679.
MYH2,204631_at,,The Lancet 365.9460 (2005): 671-679.
,202687_s_at,,The Lancet 365.9460 (2005): 671-679.
,221634_at,,The Lancet 365.9460 (2005): 671-679.
GABBQ,220886_at,,The Lancet 365.9460 (2005): 671-679.
ADPRTL1,202239_at,,The Lancet 365.9460 (2005): 671-679.
DKFZP564M082,204218_at,,The Lancet 365.9460 (2005): 671-679.
BCLG,221241_s_at,,The Lancet 365.9460 (2005): 671-679.
,209862_s_at,,The Lancet 365.9460 (2005): 671-679.
RPS4X,217019_at,,The Lancet 365.9460 (2005): 671-679.
,210593_at,,The Lancet 365.9460 (2005): 671-679.
,216103_at,,The Lancet 365.9460 (2005): 671-679.
LIMK1,,negative,"Nature Reviews Cancer volume 7, pages429–440(2007)"
ATM,,positive,"Journal of Molecular Cell Biology, Volume 4, Issue 5, October 2012, Pages 304–315"
GAPDH,,positive,IET systems biology 8.2 (2014): 47-55.
PGK1,,positive,IET systems biology 8.2 (2014): 47-55.
ITGA6,,positive,IET systems biology 8.2 (2014): 47-55.
HLA-G,,positive,IET systems biology 8.2 (2014): 47-55.
HLA-DRA,,positive,IET systems biology 8.2 (2014): 47-55.
ADIPOQ,,positive,IET systems biology 8.2 (2014): 47-55.
FABP4,,positive,IET systems biology 8.2 (2014): 47-55.
LPL,,positive,IET systems biology 8.2 (2014): 47-55.
CD2,,positive,IET systems biology 8.2 (2014): 47-55.
CD247,,positive,IET systems biology 8.2 (2014): 47-55.
CD3D,,positive,IET systems biology 8.2 (2014): 47-55.
LCK,,positive,IET systems biology 8.2 (2014): 47-55.
CD27,,positive,IET systems biology 8.2 (2014): 47-55.
CXCL9,,positive,IET systems biology 8.2 (2014): 47-55.
LTB,,positive,IET systems biology 8.2 (2014): 47-55.
XCL1,,positive,IET systems biology 8.2 (2014): 47-55.
XCL2,,positive,IET systems biology 8.2 (2014): 47-55.
CCL19,,positive,IET systems biology 8.2 (2014): 47-55.
PRKCB,,positive,IET systems biology 8.2 (2014): 47-55.
CCL5,,positive,IET systems biology 8.2 (2014): 47-55.
CXCL10,,positive,IET systems biology 8.2 (2014): 47-55.
CXCL11,,positive,IET systems biology 8.2 (2014): 47-55.
IGKC,,positive,IET systems biology 8.2 (2014): 47-55.
CKAP2,,positive,IET systems biology 8.2 (2014): 47-55.
IGLC1,,positive,IET systems biology 8.2 (2014): 47-55.
IGLV-44,,positive,IET systems biology 8.2 (2014): 47-55.
PTPRC,,positive,IET systems biology 8.2 (2014): 47-55.
COL1A1,,positive,IET systems biology 8.2 (2014): 47-55.
COL6A1,,positive,IET systems biology 8.2 (2014): 47-55.
FLNA,,positive,IET systems biology 8.2 (2014): 47-55.
MYL9,,positive,IET systems biology 8.2 (2014): 47-55.
