gene_symbol,rank,p-value,covered_events,cover_genes,chr,description,mut,total_events,node_degree,no.of.cases,connected.drivers,case,ens_gene_id
COPS6,11,0.021,8,"ASB2,FBXL16,FBXO27,FBXO40,ASB5,SOCS3,KLHL41,FBXO17",7,COP9 signalosome subunit 6,1,897,25,1,"1,11",cloneB,ENSG00000168090
COL1A2,12,0.03,7,"TLL1,ADAMTS2,GP6,TGFBI,POSTN,SERPINH1,P4HA3",7,collagen type I alpha 2 chain,1,897,37,1,"1,8,12,29",cloneB,ENSG00000164692
POM121C,13,0.03,7,"SNRPF,U2AF1,SMN1,KPNA7,IRF7,ISG15,HSPA1B",7,POM121 transmembrane nucleoporin C,1,897,17,1,13,cloneB,ENSG00000272391
WNT16,14,0.079,5,"SFRP4,SFRP2,GPC3,FZD4,FZD9",7,Wnt family member 16,1,897,9,1,"5,14",cloneB,ENSG00000002745
POU6F2,15,0.079,5,"HOXC8,TLX2,VAX2,EBF1,RAX2",7,POU class 6 homeobox 2,1,897,6,1,15,cloneB,ENSG00000106536
LEP,16,0.079,5,"IGF1,IL12RB2,CNTFR,IL2RA,CEBPA",7,leptin,1,897,16,1,16,cloneB,ENSG00000174697
HOXA10,17,0.079,5,"SPI1,ETV2,DLX5,LHX2,EMX2",7,homeobox A10,1,897,12,1,"6,17,39",cloneB,ENSG00000253293
HOXA9,18,0.126,4,"PYCARD,CALB1,MME",7,homeobox A9,1,897,7,1,18,cloneB,ENSG00000078399
SRRT,19,0.126,4,"NKAP,LENG1,PPIG,DDX39B",7,"serrate, RNA effector molecule",1,897,18,1,19,cloneB,ENSG00000087087
HSPB1,20,0.126,4,"HSPB6,CRYAB,FASLG",7,heat shock protein family B (small) member 1,1,897,10,1,20,cloneB,ENSG00000106211
RHEB,21,0.126,4,"ATP6V1B1,ATP6V1C2,ATP6V0D2",7,"Ras homolog, mTORC1 binding",1,897,7,1,21,cloneB,ENSG00000106615
INHBA,22,0.126,4,"FST,INHBB,IGFBP7",7,inhibin subunit beta A,1,897,8,1,22,cloneB,ENSG00000122641
GNGT1,23,0.126,4,"ADCYAP1R1,CHRNA1,LPAR4,ADRA1B",7,G protein subunit gamma transducin 1,1,897,55,1,"2,3,23",cloneB,ENSG00000127928
CFTR,24,0.208,3,"PDIA4,VPS28,CEBPD",7,CF transmembrane conductance regulator,1,897,19,1,24,cloneB,ENSG00000001626
MAD1L1,25,0.208,3,"SPC25,RPS27",7,mitotic arrest deficient 1 like 1,1,897,7,1,25,cloneB,ENSG00000002822
ELN,26,0.208,3,"LOXL1,FBLN5",7,elastin,1,897,4,1,26,cloneB,ENSG00000049540
NRCAM,27,0.208,3,"CNTN1,NRP2",7,neuronal cell adhesion molecule,1,897,12,1,27,cloneB,ENSG00000091129
PTN,28,0.208,3,"JAK3,PTPRZ1",7,pleiotrophin,1,897,5,1,28,cloneB,ENSG00000105894
CAV1,29,0.208,3,"FLOT1,PLIN1,TNF",7,caveolin 1,1,897,48,1,"1,3,4,8,12,29",cloneB,ENSG00000105974
EPHB6,30,0.208,3,"EPHA3,EFNA2,PSENEN",7,EPH receptor B6,1,897,14,1,"3,30",cloneB,ENSG00000106123
MEOX2,31,0.208,3,"MEOX1,PAX3",7,mesenchyme homeobox 2,1,897,5,1,31,cloneB,ENSG00000106511
EXOC4,32,0.208,3,"AQP5,AQP3,EXOC3L2",7,exocyst complex component 4,1,897,8,1,"3,32",cloneB,ENSG00000131558
CD36,33,0.208,3,"RXRG,SOCS1",7,CD36 molecule,1,897,14,1,33,cloneB,ENSG00000135218
PGAM2,34,0.208,3,"ENO3,PGAM4",7,phosphoglycerate mutase 2,1,897,4,1,34,cloneB,ENSG00000164708
LMOD2,35,0.208,3,"FHOD3,LMOD3",7,leiomodin 2,1,897,4,1,35,cloneB,ENSG00000170807
ZNF679,36,0.208,3,"ZSCAN4,ZNF676",7,zinc finger protein 679,1,897,6,1,36,cloneB,ENSG00000197123
ETV1,37,0.358,2,ERG,7,ETS variant transcription factor 1,1,897,4,1,37,cloneB,ENSG00000006468
SEMA3A,38,0.358,2,"SEMA3C,CDK5",7,semaphorin 3A,1,897,9,1,"3,38",cloneB,ENSG00000075213
DLX5,39,0.358,2,"SOX8,MSX1",7,distal-less homeobox 5,1,897,6,1,"17,39",cloneB,ENSG00000105880
NPTX2,40,0.358,2,NPTX1,7,neuronal pentraxin 2,1,897,2,1,40,cloneB,ENSG00000106236
TWIST1,41,0.358,2,"MAML1,TWIST2",7,twist family bHLH transcription factor 1,1,897,6,1,"5,41",cloneB,ENSG00000122691
AKAP9,42,0.358,2,TUBA4A,7,A-kinase anchoring protein 9,1,897,9,1,42,cloneB,ENSG00000127914
VGF,43,0.358,2,FAM20A,7,VGF nerve growth factor inducible,1,897,2,1,43,cloneB,ENSG00000128564
FLNC,44,0.358,2,"MYOZ2,MYOZ1",7,filamin C,1,897,14,1,"1,4,8,44",cloneB,ENSG00000128591
PTPRN2,45,0.358,2,PTPRN,7,protein tyrosine phosphatase receptor type N2,1,897,2,1,45,cloneB,ENSG00000155093
PIP,46,0.358,2,AZGP1,7,prolactin induced protein,1,897,2,1,46,cloneB,ENSG00000159763
TNFAIP8L2,47,0.358,2,CORO1A,1,TNF alpha induced protein 8 like 2,1,897,6,1,47,cloneB,ENSG00000163154
RP9,48,0.358,2,CIR1,7,RP9 pre-mRNA splicing factor,1,897,2,1,48,cloneB,ENSG00000164610
CLDN3,49,0.358,2,CLDN5,7,claudin 3,1,897,2,1,49,cloneB,ENSG00000165215
MUC3A,50,0.358,2,"GALNT15,GALNT9",7,"mucin 3A, cell surface associated",1,897,10,1,50,cloneB,ENSG00000169894
ZNF467,51,0.358,2,CEBPB,7,zinc finger protein 467,1,897,7,1,51,cloneB,ENSG00000181444
KCND2,52,0.358,2,"KCNA4,KCNIP4",7,potassium voltage-gated channel subfamily D member 2,1,897,3,1,52,cloneB,ENSG00000184408
ZNF398,53,0.358,2,"ZNF296,ZNF90",7,zinc finger protein 398,1,897,7,1,53,cloneB,ENSG00000197024
PDK4,54,0.665,1,"",7,pyruvate dehydrogenase kinase 4,1,897,3,1,54,cloneB,ENSG00000004799
SKAP2,55,0.665,1,"",7,src kinase associated phosphoprotein 2,1,897,2,1,55,cloneB,ENSG00000005020
PON1,56,0.665,1,"",7,paraoxonase 1,1,897,1,1,56,cloneB,ENSG00000005421
