C_vs_B_DE_gene,connect_to_cis_gene,significant_pathway
THBS4,ITGB1_THBS4_0.81: direct_1st_layer,
COMP,ITGB1_COMP_0.8: direct_1st_layer,emt
ITIH4,DNAJC1_ITIH4_0.649: direct_1st_layer,
ASPN,PLXDC2_ASPN_0.504: direct_1st_layer,
TCN1,CUBN_TCN1_0.515: direct_1st_layer,
NPNT,ITGA8_NPNT_0.999: direct_1st_layer,
TNC,ITGA8_TNC_0.927: direct_1st_layer,emt
FMOD,CCDC3_FMOD_0.508: direct_1st_layer,emt
PYGM,PFKP_PYGM_0.432: direct_1st_layer,myogenesis
ATP1A2,TAS2R1_ATP1A2_0.508: direct_1st_layer,
ST6GALNAC5,CELF2_ST6GALNAC5_0.462: direct_1st_layer,
FIBCD1,BCL3_FIBCD1_0.8: indirect_2nd_layer,
SPTSSB,SPTLC2_SPTSSB_0.988: indirect_2nd_layer,
PIGR,CD79A_PIGR_0.981: indirect_2nd_layer,
KRT17,NFKB1_KRT17_0.8: indirect_2nd_layer,
ANKHD1-EIF4EBP3,NFKB1_ANKHD1-EIF4EBP3_0.8: indirect_2nd_layer,
C5orf46,NANOG_C5orf46_0.8: indirect_2nd_layer,
MYH8,TBP_MYH8_0.8: indirect_2nd_layer,myogenesis
PAX7,MYOG_PAX7_0.917: indirect_2nd_layer,
CKM,MYOD1_CKM_0.948: indirect_2nd_layer,myogenesis
HBG2,HBA2_HBG2_0.985: indirect_2nd_layer,
MFAP2,ELN_MFAP2_0.971: indirect_2nd_layer,
RARRES1,RARA_RARRES1_0.8: indirect_2nd_layer,
INHBB,FST_INHBB_0.922: indirect_2nd_layer,
SERPINA3,EP300_SERPINA3_0.8: indirect_2nd_layer,
TM4SF18,EP300_TM4SF18_0.8: indirect_2nd_layer,
IFITM1,CD81_IFITM1_0.996: indirect_2nd_layer,
WFDC2,STAT3_WFDC2_0.8: indirect_2nd_layer,
BGN,VCAN_BGN_0.977: indirect_2nd_layer,emt
NCALD,CLTC_NCALD_0.96: indirect_2nd_layer,
CAPN6,CALM2_CAPN6_0.947: indirect_2nd_layer,
B4GALNT2,PELO_B4GALNT2_0.839: indirect_2nd_layer,
TMPRSS5,NCK1_TMPRSS5_0.659: indirect_2nd_layer,
APCDD1,LRP5_APCDD1_0.847: indirect_2nd_layer,
SPDEF,STAT6_SPDEF_0.927: indirect_2nd_layer,myogenesis
POSTN,COL3A1_POSTN_0.949: indirect_2nd_layer,emt_angiogenesis
PCSK1N,PCSK1_PCSK1N_0.892: indirect_2nd_layer,
CES1,TFDP2_CES1_0.899: indirect_2nd_layer,
HBB,HBA1_HBB_0.999: indirect_2nd_layer,
ACADL,HADHB_ACADL_0.969: indirect_2nd_layer,
FMO2,CYP3A4_FMO2_0.929: indirect_2nd_layer,
MRC2,PLAUR_MRC2_0.899: indirect_2nd_layer,
PCDH11X,CTNNB1_PCDH11X_0.827: indirect_2nd_layer,
SCNN1A,UBC_SCNN1A_0.999: indirect_2nd_layer,
FHL1,RBPJ_FHL1_0.948: indirect_2nd_layer,myogenesis
SCNN1B,NEDD4_SCNN1B_0.999: indirect_2nd_layer,
C8orf31,GATA2_C8orf31_0.8: indirect_2nd_layer,
MYH13,MYL4_MYH13_0.916: indirect_2nd_layer,
BTN1A1,SIRPA_BTN1A1_0.51: indirect_2nd_layer,
CASQ1,PLN_CASQ1_0.857: indirect_2nd_layer,myogenesis
NMB,COL11A1_NMB_0.899: indirect_2nd_layer,
PTGIS,PTGS1_PTGIS_0.962: indirect_2nd_layer,
COL12A1,COL5A2_COL12A1_0.979: indirect_2nd_layer,emt
APOBEC2,CDA_APOBEC2_0.778: indirect_2nd_layer,
HSPA1L,HSPA1A_HSPA1L_0.905: indirect_2nd_layer,
CA13,CKAP2_CA13_0.462: indirect_2nd_layer,
COL9A3,COL2A1_COL9A3_0.974: indirect_2nd_layer,
MYH6,MYBPC3_MYH6_0.97: indirect_2nd_layer,
