Core ID,Block ID,PDX ID,SA ID,ER intensity,ER %,PR intensity,PR %,HER 2 intensity,HER 2 %,Ki67 intensity,Ki67 %,CK5/6 intensity,CK5/6 %,EGFR intensity,EGFR %,E-cadherin intensity,E-dadherin %,vimentin intensity,vimentin %,AR intensity,AR %,Caspase3 intensity ,Caspase3 %,INPP4B intensity,INPP4B %,Nestin intensity,Nestin %
35,03145-4,X0011-2361R1,SA535X4R,0,0,0,0,0,0,3,35,0,0,2,50,3,95,3,85,0,0,3,1-5,1+,100,2+,10
36,03145 NeckM,X0011-2361R1,SA535X4R,0,0,0,0,0,0,3,20,0,0,2,80,3,95,3,10,0,0,3,0-1,2+,100,2+,1
37,02692,X1476-2334,SA1139,0,0,0,0,0,0,3,50,2,15,1,35,1,5,2,25,0,0,3,1,0,0,0,0
38,03085,X0847-215,SA919X3,0,0,0,0,0,0,3,40,1,1,1,25,3,95,0,0,0,0,3,1,1+,100,0,0
39,03087,X0847-217,SA919X3,0,0,0,0,0,0,3,45,1,1,1,15,3,100,0,0,0,0,3,0-1,1+,100,0,0
40,02464 LU,X0046-3304,SA605,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor
41,02495 LU,X0011-2361,SA535X4,0,0,0,0,0,0,3,25,0,0,1,45,1,60,3,55,0,0,3,0-1,1+,10,2+,35
42,02496 LU,X0011-2362,SA535X4,0,0,0,0,0,0,3,30,1,1,1,40,2,80,3,80,0,0,0,0,0,0,3+,95
43,02497 LU,X0011-2363,SA535X4,0,0,0,0,0,0,no tumor,no tumor,1,1,1,60,1,30,3,80,0,0,0,0,0,0,2+,10
44,02498 LU,X0011-2364,SA535X4,0,0,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,0,0,1,40,1,80,3,90,0,0,no tumor,no tumor,1+,100,no tumor,no tumor
45,02958 LU,X0847-2112253M2,SA919X7M,0,0,0,0,0,0,3,30,1,1,no tumor,no tumor,1,10,0,0,0,0,0,0,no tumor,no tumor,no tumor,no tumor
46,02958 BR,X0847-2112253M2,SA919X7M,0,0,0,0,0,0,3,25,0,0,1,30,3,95,0,0,0,0,3,0-1,0,0,0,0
47,02959 LU,X0847-2112253M3,SA919X7M,0,0,0,0,0,0,3,25,1,10,0,0,1,20,0,0,0,0,3,0-1,0,0,0,0
48,02959 BR,X0847-2112253M3,SA919X7M,0,0,0,0,0,0,3,20,1,0-1,1,20,2,80,0,0,0,0,3,0-1,0,0,1+,0-1
49,02960 BR,X0847-2112253M4,SA919X7M,0,0,0,0,0,0,3,30,0,0,1,40,3,90,0,0,0,0,3,0-1,0,0,0,0
50,02960 LU,X0847-2112253M4,SA919X7M,0,0,0,0,0,0,3,30,1,10,0,0,0,0,0,0,0,0,3,0-1,0,0,0,0
51,03145-2,X0011-2361R1,SA535X4R,0,0,0,0,0,0,3,35,0,0,1,55,2,80,3,80,0,0,3,1,1+,30,2+,15
52,03146-2,X0011-2361R2,SA535X4R,0,0,0,0,0,0,3,20,0,0,1,20,2,75,3,60,0,0,3,0-1,2+,80,2+,15
53,03148-2,X0011-2361R4,SA535X4R,0,0,0,0,0,0,3,20,0,0,1,5,1,60,2,50,0,0,0,0,1+,1-5,2+,10
54,02798-2,X2673-11,SA1142X2,0,0,0,0,0,0,3,20,3,90,1,40,2,80,3,70,0,0,0,0,1+,1-5,2+,5
55,02798-3,X2673-11,SA1142X2,0,0,0,0,0,0,3,20,3,75,1,10,2,50,1,1,0,0,3,1,0,0,0,0
56,02800-LU,X2673-13,SA1142X2,0,0,no tumor,no tumor,0,0,no tumor,no tumor,3,90,1,50,1,70,2,20,no tumor,no tumor,no tumor ,no tumor,1+,40,no tumor,no tumor
57,02800-LI,X2673-13,SA1142X2,0,0,0,0,0,0,3,40,2,60,1,5,3,80,2,5,0,0,3,0-1,0,0,0,0
58,03141-2,X0011-2361M1,SA535X4M,0,0,0,0,0,0,3,30,0,0,1,70,2,75,3,80,0,0,0,0,1+,80,2+,40
59,03142-2,X0011-2361M2,SA535X4M,0,0,0,0,0,0,3,20,0,0,1,60,2,70,3,80,0,0,0,0,2+,80,2+,40
60,03143-2,X0011-2361M3,SA535X4M,0,0,0,0,0,0,3,20,1,10,1,10,2,70,3,80,0,0,3,0-1,1+,70,2+,35
