SA_ID,Cage,Tumor_ID,Passage,Source_type,V23,V24,Histology,Damian,mainsite,plot_label,double_check,Mets_site,SQL_Barcode
SA535,HL190604(1),X0011-236193,6,,"PTR on Aug20/19, hard mass (14x8x6), easily removed, minor bledding
FFPEx1, OCTx1, FFx2, VFx4","Euth on Dec2/19, Tumor recur x1, small axillary mass, huge intra-abdominal mass
Lung:VFx2 (gentle macs only), TuRec: OCTx1, FFx2, VFx4, AbdM: OCTx1, FFx2, VFx4, Axim:FFPEx1",,met,met,SA535X6_3,,,3607
SA535,HL190604(1),X0011-236194,6,,"PTR on Aug19/19,  hard mass easily removed,  minor bledding
FFPEx1, OCTx1, FFx2, TPx2, VFx4","Euth on Nov22/19, only tumor recur, no other mets.
Lung: VFx2 (lung dissociation + mouse depletion, count before MD: 1) Live =  1.37 x 104, Dead = 1.49 x 106, Total 1.5 x 106, viability 0.9%, 2) Live = 2.75 x 104, Dead = 3.92 x 106, Total = 3.95 x 106, via 0.67%. After MD: Live = 1.37 x 104, Dead = 4.68 x 105, Total = 4.82 x 105, via 2.86%. (approx 10% left after depletion)
TuRec: OCTx1, FFx1 (after gentle macs), VFx2 (gentle MCS only), VFx2 (TD+MD, count before MD: 1) Live = 1.37 x 105, Dead = 3.92 x 106, Total = 4.05 x 106, via = 3.4%, 2) live = 3.72 x 105, Dead = 2.62 x 106, Total = 2.99 x 106, via 12.4%. After MD: 1) Live = 2.96 x 105, Dead = 1.37 x 105, Total = 4.34 x 105, via 68.3%, 2) live = 3.58 x 105, Dead = 3.37 x 105, Total = 6.95 x 105, via 51.5%. (approx 15% left after depletion)
Rack13.Box08 (BOX ID 2669)",,non_met,non_met,SA535X6_4,,,3608
SA609,HL180403,X0028-121D1323411,11,Primary tumor,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,Bone,2518
SA609,HL180403,X0028-121D1323412,11,Primary tumor,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis, tumour recur","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,Bone,2519
SA609,HL180403,X0028-121D1323413,11,Primary tumor,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,Bone,2520
SA609,HL180403,X0028-121D1323414,11,Primary tumor,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,Bone,2521
SA609,HL181012,X0028-161,3,Primary tumor,"PTR on Dec5/18, soft tumor, easily removed, minimal bleeding","Euth on Jul25/19, no gross mets
Lung:FFPEx1",,non_met,non_met,,double_check,,3031
SA609,HL181012,X0028-162,3,Primary tumor,"PTR on Dec4/18, soft tumor, easily removed, minimal bleeding","Euth on Sep30/19, no gross mets
Lung:FFPEx1",,non_met,non_met,,double_check,,3032
SA609,HL181012,X0028-163,3,Primary tumor,"PTR on Dec4/18, soft tumor, easily removed, minimal bleeding","Euth on May1/19 d/t huge scabbed mass on Rt. Flank. Flank mass seemed like vascular structure. Liver had metastatic mass.
Lung:FFPEx1, Liver:FFPEx1, FFx1, VFx4, Flank mass(TuRec):FFPEx1","negative for lung, liver(mass lost during fixation?), flank mass seems muscular mass? - no tumor cells in histology",unknown,met,,double_check,,3033
SA609,HL181012,X0028-164,3,Primary tumor,"PTR on Dec3/18, soft tumor, easily removed, minimal bleeding","Found dead on Aug31/19, No gross mets on necropsy",,unknown,non_met,,,,3034
SA609,HL190510,X0028-121D1323415,11,"TPx2,tiny pellet","PTR on Jul 8/19, large fragile mass, easily removed, minor bleeding. FFPEx1, FFx2, TPx2, VFx4","Euth on Feb5/20, no mets. Lung:FFPEx1",negative for lung mets,non_met,non_met,,,,3436
SA609,HL190510,X0028-121D1323416,11,"VFx1,small pellet","PTR on Jun25/19, large fragile mass, easily removed, minor bleeding.FFPEx1, FFx2, TPx2, VFx4","Euth on Sep12/19, large tumor recur, no other gross mets.
Lung:FFPEx1, TuRec: FFPEx1, OCTx1, FFx2, VFx4",negative for lung mets,non_met,non_met,,,,3437
SA609,HL190510,X0028-121D1323417,11,VFx1 into two mice,"PTR on Jun17/19 (18x14x14), large fragile mass, easily removed, minor bleeding. OCTx1, FFx2, TPx2, VFx4","Euth on Feb5/20, no mets. Lung:FFPEx1",negative for lung mets,non_met,non_met,,,,3438
SA609,HL190510,X0028-121D1323418,11,VFx1 into two mice,"PTR on Jun17/19 (24x10x10), large fragile mass, easily removed, minor bleeding. OCTx1, FFx2, TPx2, VFx4","Euth on Feb5/20, no mets. Lung:FFPEx1",negative for lung mets,non_met,non_met,,,,3439
SA609,HL190514,X0028-1631,4,TPx2 into four mice,"PTR on Jul 30/19, fragile mass, easily removed, minor bleeding. FFPEx1, OCTx1, FFx2, TPx2, VFx4","Euth on Sep 3/19 d/t tumor recur (20x12x12), axillary mass
Lung: FFPEx1, TuRec: FFPEx1, OCTx1, FFx2, VFx4, AxiM: FFPEx1, FFx2, VFx4","positive for tumor recur, axillary, lung mets",met,met,,,,3440
SA609,HL190514,X0028-1632,4,TPx2 into four mice,"PTR on Jul 22/19, large fragile mass, easily removed, minor bleeding. FFPEx1, OCTx1, FFx2, VFx4","Euth on Feb24/20, no gross mets
Lung:FFPEx1",1 tumor deposit in lung,met,non_met,,double_check,,3441
SA609,HL190514,X0028-1633,4,TPx2 into four mice,"PTR on Jul 16/19, large fragile mass, easily removed, minor bleeding. (wound resuture on Jul22/19) FFPEx1, OCTx1, FFx2, TPx2, VFx4","Euth on Feb24/20, no gross mets
Lung:FFPEx1",negative for lung mets,non_met,non_met,,,,3442
SA609,HL190514,X0028-1634,4,TPx2 into four mice,"PTR on Jul 8/19, large fragile mass, easily removed, minor bleeding. FFPEx1, OCTx1, FFx2, TPx2, VFx4","Euth on Feb24/20, subQ mass at left flank near rib cage, no other gross mets
Lung:FFPEx1, SubQ:FFx1, VFx3","negative for lung mets, tumor deposit in fat tissue",met,met,,,,3443
SA604,HL180424,X0038-1246159671,10,Primary tumor,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,"Bone,Liver",2577
SA604,HL180424,X0038-1246159672,10,Primary tumor,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,"Bone,Liver",2578
SA604,HL180424,X0038-1246159673,10,Primary tumor,"Euthanized Nov20/18 due to time (over 16wks after PTR), No grossly abnormal findings",,"Negative for metastasis in liver, lung, brain.",non_met,non_met,,,"Bone,Liver",2579
SA604,HL180424,X0038-1246159674,10,Primary tumor,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,"Bone,Liver",2580
SA1139,HL180611,X1476-2332,4,Primary tumor,"PTR on Aug14/18, Hard mass, highly vascularized, easily removed, minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,,2690
SA1139,HL180611,X1476-2333,4,Primary tumor,"PTR on Sep10/18, Hard mass, highly vascularized, easily removed, minor bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, FFPEx1, FFx2, VFx2 for brain, liver/ FFPEx1,FFx1,VFx2 for lung","Negative for metastasis in liver, brain.
One micromets in lung?",unknown,non_met,,,,2691
SA1139,HL180611,X1476-2334,4,Primary tumor,"PTR on Aug13/18, Hard mass, highly vascularized, easily removed, minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung","Negative for metastasis in liver, lung, brain.",non_met,non_met,,,,2692
SA501,HL180621,X0662-12125,5,Primary tumor,"Euth on Nov28/18, No grossly abnormal findings in organs.FFPEx1, FFx2, VFx2 for brain, liver, lung",,,unknown,met,,double_check,,2740
SA501,HL180621,X0662-12126,5,Primary tumor,,,"Negative for metastasis in liver, lung, brain.",non_met,non_met,,,,2741
SA501,HL180621,X0662-12127,5,Primary tumor,Euthanized Nov21.18 due to tail vein wounds. No grossly abnormal findings in organs.,,"Negative for metastasis in liver, lung, brain.",non_met,non_met,,,,2742
SA501,HL180621,X0662-12128,5,Primary tumor,"Euth on Nov28/18, No grossly abnormal findings in organs.FFPEx1, FFx2, VFx2 for brain, liver, lung/ 2mm sized small mass at tumor site",,"Negative for metastasis in liver, lung, brain.",non_met,non_met,,,,2743
SA1142 (need to be checked),HL180713,X2673-11,2,Primary tumor,"PTR on Jan30/19, Small hard mass, easily removed, small bleeding","Euth on Mar26/19 due to wt loss, mild ataxia. Two small mets in liver, other organs were clean without mets.
Brain: FFPEx1, Liver mets: FFPEx1, VFx2, Lung: VFx2 after mouse depletion (cold protease), cell count=3.64mil/ml -> 1.8mil cells in 1 VF
Initial material: TP=7064(Rack2-Box9-C1), VF=7065 (Rack2-Box9-C2), FF=7063 (Rack2-Box9-B8)
Primary and liver mets for DLP on May2/19, Lung mets for DLP on May17/19.
Resubmit liver and lung (dead cell removal) on","Multiple metastatic lesion in lung, metastatic mass in liver, negative for brain",met,met,,,,2798
SA1142,HL180713,X2673-12,2,Primary tumor,"PTR on Jan30/19, Small hard mass, easily removed, minimal bleeding","Euth on Mar26/19 due to wt loss, mild ataxia. No gross mets in organs.
Brain, Lung, liver: FFPEx1","A few metastatic lesion in lung, Negative for liver, brain",met,met,,,,2799
SA1142,HL180713,X2673-13,2,Primary tumor,Euthanized on Feb 6/19 due to wt loss. General illness.,"Metastatic lesion on liver, no specific findings in other organs.
Liver:FFPEx1, FFx1, VFx1 (enough for both DLP and 10X)
Lung: FFPEx1, VFx1, Brain: FFPEx1
Primary and liver submitted on Dec 13/19","Metastatic lesion in liver, micrometastasis in lung, negative for brain",met,met,,,,2800
SA1146,HL180911,X3629-15,2,,"PTR on Nov26/18, semi-solid mass, minor bleeding",,,unknown,,,,,2925
SA1146,HL180911,X3629-16,2,,"PTR on Nov18/18, Hard, vascularized mass, 20x20x16, minor bleeding. Passaged to 4 mice.","Euth on Mar7/19, Tumor recur at Lt MFP, no gross mets in other organs
FFPE for brain, lung, liver, tumor recur
Tumor recur: FFPEx1, FFx1, VFx2","Negative for metastasis in brain, lung and liver, Tumor cells in recured mass",non_met,non_met,,,,2926
SA1146,HL180911,X3629-17,2,,"PTR on Dec19/18, Hard, vascularized mass,16x16x8, difficult to remove, took more than 20 min, some bleeding",,,unknown,met,,double_check,,2927
SA1146,HL180911,X3629-18,2,,"PTR on Nov27/18, Mass attached to abdominal wall and left thigh. Peritoneum opened during removal, not repaired. Minor bleeding.","Euth on Mar7/19, huge tumor recur (20x14x14), no gross mets in other organs
FFPE for brain, lung, liver, tumor recur
Tumor recur: FFPEx1, FFx2, TPx2, VFx3","Negative for metastasis in brain, lung and liver, Tumor cells in recured mass",non_met,non_met,,,,2928
SA1146,HL181118,X3629-161,3,,"PTR on Feb6/19, Hard large mass, small bleeding","Euth on Apr28/19, huge tumor recur (26x24x20), extending into abdominal cavity. interestingly, there was no internal organ invasion. Only into surrounding muscles in pelvis area. No gross mets in other organs, no enlarged LNs in axilla or elsewhere.
FFPE for lung, liver, tumor recur
Tumor recur: FFPEx1, FFx2, TPx2, VFx4","tumor cells in the edge of lung? Cavity in liver, huge recurred tumor",met,non_met,,,,3153
SA1146,HL181118,X3629-162,3,,"PTR on Jan15/19, Hard mass, minor bleeding","Euth on Jul 29/19, large tumor recur, attached to skin, ulcerated, no invasion into surroundings or peritoneum.
Tumor recur: FFPEx1, FFx2, VFx2",,non_met,non_met,,,,3154
SA1146,HL181118,X3629-163,3,,"PTR on Jan2/19, Hard mass, small bleeding","Euth on Jul 29/19, no tumor recur or gross metastasis. Lung:FFPEx1",,non_met,non_met,,,,3155
SA1146,HL181118,X3629-164,3,,"PTR on Jan2/19, Hard mass, minor bleeding","Euth on Jul 29/19, no tumor recur or gross metastasis. Lung:FFPEx1",,non_met,non_met,,,,3156
