FileName,Core_ID,Block_ID,PDX_ID,SA_ID,ER_intensity,ER_%,PR_intensity,PR_%,HER_2_intensity,HER_2_%,Ki67_intensity,Ki67_%,CK5/6_intensity,CK5/6_%,EGFR_intensity,EGFR_%,E-cadherin_intensity,E-dadherin_%,vimentin_intensity,vimentin_%,AR_intensity,AR_%,Caspase3_intensity,Caspase3_%,INPP4B_intensity,INPP4B_%,Nestin_intensity,Nestin_%,CK_AE1/AE3_intensity,CK_AE1/AE3_%,note
19-012,39,03087,X0847-217,SA919X3,0,0,0,0,0,0,3,45,1,1,1,15,3,100,0,0,0,0,3,0-1,1+,100,0,0,,,
19-012,40,02464 LU,X0046-3304,SA605,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,,,
19-012,41,02495 LU,X0011-2361,SA535X4,0,0,0,0,0,0,3,25,0,0,1,45,1,60,3,55,0,0,3,0-1,1+,10,2+,35,,,
19-012,42,02496 LU,X0011-2362,SA535X4,0,0,0,0,0,0,3,30,1,1,1,40,2,80,3,80,0,0,0,0,0,0,3+,95,,,
19-012,43,02497 LU,X0011-2363,SA535X4,0,0,0,0,0,0,no tumor,no tumor,1,1,1,60,1,30,3,80,0,0,0,0,0,0,2+,10,,,
19-012,44,02498 LU,X0011-2364,SA535X4,0,0,no tumor,no tumor,no tumor,no tumor,no tumor,no tumor,0,0,1,40,1,80,3,90,0,0,no tumor,no tumor,1+,100,no tumor,no tumor,,,
19-012,45,02958 LU,X0847-2112253M2,SA919X7M,0,0,0,0,0,0,3,30,1,1,no tumor,no tumor,1,10,0,0,0,0,0,0,no tumor,no tumor,no tumor,no tumor,,,
19-012,46,02958 BR,X0847-2112253M2,SA919X7M,0,0,0,0,0,0,3,25,0,0,1,30,3,95,0,0,0,0,3,0-1,0,0,0,0,,,
19-012,47,02959 LU,X0847-2112253M3,SA919X7M,0,0,0,0,0,0,3,25,1,10,0,0,1,20,0,0,0,0,3,0-1,0,0,0,0,,,
19-012,48,02959 BR,X0847-2112253M3,SA919X7M,0,0,0,0,0,0,3,20,1,0-1,1,20,2,80,0,0,0,0,3,0-1,0,0,1+,0-1,,,
19-012,49,02960 BR,X0847-2112253M4,SA919X7M,0,0,0,0,0,0,3,30,0,0,1,40,3,90,0,0,0,0,3,0-1,0,0,0,0,,,
19-012,50,02960 LU,X0847-2112253M4,SA919X7M,0,0,0,0,0,0,3,30,1,10,0,0,0,0,0,0,0,0,3,0-1,0,0,0,0,,,
19-012,51,03145-2,X0011-2361R1,SA535X4R,0,0,0,0,0,0,3,35,0,0,1,55,2,80,3,80,0,0,3,1,1+,30,2+,15,,,
19-012,52,03146-2,X0011-2361R2,SA535X4R,0,0,0,0,0,0,3,20,0,0,1,20,2,75,3,60,0,0,3,0-1,2+,80,2+,15,,,
19-012,53,03148-2,X0011-2361R4,SA535X4R,0,0,0,0,0,0,3,20,0,0,1,5,1,60,2,50,0,0,0,0,1+,1-5,2+,10,,,
19-012,54,02798-2,X2673-11,SA1142X2,0,0,0,0,0,0,3,20,3,90,1,40,2,80,3,70,0,0,0,0,1+,1-5,2+,5,,,
19-012,55,02798-3,X2673-11,SA1142X2,0,0,0,0,0,0,3,20,3,75,1,10,2,50,1,1,0,0,3,1,0,0,0,0,,,
19-012,56,02800-LU,X2673-13,SA1142X2,0,0,no tumor,no tumor,0,0,no tumor,no tumor,3,90,1,50,1,70,2,20,no tumor,no tumor,no tumor,no tumor,1+,40,no tumor,no tumor,,,
19-012,57,02800-LI,X2673-13,SA1142X2,0,0,0,0,0,0,3,40,2,60,1,5,3,80,2,5,0,0,3,0-1,0,0,0,0,,,
19-012,58,03141-2,X0011-2361M1,SA535X4M,0,0,0,0,0,0,3,30,0,0,1,70,2,75,3,80,0,0,0,0,1+,80,2+,40,,,
19-012,59,03142-2,X0011-2361M2,SA535X4M,0,0,0,0,0,0,3,20,0,0,1,60,2,70,3,80,0,0,0,0,2+,80,2+,40,,,
19-012,60,03143-2,X0011-2361M3,SA535X4M,0,0,0,0,0,0,3,20,1,10,1,10,2,70,3,80,0,0,3,0-1,1+,70,2+,35,,,
19-006,1,02444,X0028-121D132341,SA609,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,2,02464,X0046-3304,SA605,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,3,02487,X0847-2112251,SA919,0,0,0,0,0,0,3,35,1,0-1,2,60,3,100,0,0,,,,,,,,,3,100,""
19-006,4,02487NeckM,X0847-2112251,SA919,0,0,0,0,0,0,3,40,1,0-1,2,75,3,100,0,0,,,,,,,,,3,100,""
19-006,5,02487SpinM,X0847-2112251,SA919,0,0,0,0,0,0,3,35,1,1,2,60,3,100,0,0,,,,,,,,,3,100,""
19-006,6,02488,X0847-2112252,SA919,0,0,0,0,0,0,3,30,1,1,2,60,3,100,0,0,,,,,,,,,3,100,""
19-006,7,02488NeckM,X0847-2112252,SA919,0,0,0,0,0,0,3,40,1,0-1,2,80,3,100,0,0,,,,,,,,,3,100,""
19-006,8,02489,X0847-2112253,SA919,0,0,0,0,0,0,2,1,3,65,0,0,3,100,0,0,,,,,,,,,3,100,""
19-006,9,02489Bone,X0847-2112253,SA919,0,0,0,0,0,0,3,35,2,1,1,60,3,100,0,0,,,,,,,,,3,100,""
19-006,10,02490,X0847-2112254,SA919,0,0,0,0,0,0,3,50,1,1,2,60,3,100,0,0,,,,,,,,,3,100,""
19-006,11,02490SpinM,X0847-2112254,SA919,0,0,0,0,0,0,3,40,1,0-1,2,70,3,100,0,0,,,,,,,,,3,100,""
19-006,12,02495TuRec,X0011-2361,SA535,0,0,0,0,0,0,3,15,0,0,2,40,3,100,3,40,,,,,,,,,3,100,""
19-006,13,02495AxiM,X0011-2361,SA535,0,0,0,0,0,0,3,25,2,0-1,2,40,3,100,3,90,,,,,,,,,3,100,""
19-006,14,02496,X0011-2362,SA535,0,0,0,0,0,0,3,25,2,1,3,60,3,100,3,90,,,,,,,,,3,100,""
19-006,15,02496R.AxiM,X0011-2362,SA535,0,0,0,0,0,0,3,30,2,1,3,50,3,100,3,80,,,,,,,,,3,100,""
19-006,16,02496L.AxiM,X0011-2362,SA535,0,0,0,0,0,0,3,40,2,1,3,50,3,100,3,95,,,,,,,,,3,100,""
19-006,17,02496InGMass,X0011-2362,SA535,0,0,0,0,0,0,3,25,2,30,3,60,3,100,3,75,,,,,,,,,3,100,""
19-006,18,02497,X0011-2363,SA535,0,0,0,0,0,0,3,25,1,1,3,30,3,100,3,75,,,,,,,,,3,100,""
19-006,19,02497TuRec,X0011-2363,SA535,1,20,0,0,0,0,3,30,2,1-5,3,55,3,100,3,20,,,,,,,,,3,100,""
19-006,20,02497ALN,X0011-2363,SA535,0,0,0,0,0,0,3,25,2,0-1,2,75,3,100,3,95,,,,,,,,,3,100,""
19-006,21,02498,X0011-2364,SA535,0,0,0,0,0,0,3,30,2,5,3,45,3,95,3,95,,,,,,,,,3,100,""
19-006,22,02498AxiM,X0011-2364,SA535,0,0,0,0,0,0,3,35,0,0,2,40,3,85,3,95,,,,,,,,,3,100,""
19-006,23,02498IngM,X0011-2364,SA535,0,0,0,0,0,0,3,30,1,1,2,45,2,60,3,95,,,,,,,,,3,100,""
19-006,24,02577,X0038-1246159671,SA604,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,25,02740,X0662-12125,SA501,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,26,02762,X1991-1,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,27,02762AxiM,X1991-1,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,28,02762Li,X1991-1,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,29,02763,X1991-2,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,30,02764,X1991-3,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,31,02765,X1991-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,32,02765-3,X1991-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,33,02765AbdM,X1991-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,34,02771,X1971-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,35,02772,X1971-5,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,36,02775,X1971-8,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,37,02798,X2673-11,SA1142,0,0,0,0,0,0,3,15,3,95,2,15,3,100,3,10,,,,,,,,,3,100,""
19-006,38,02800,X2673-13,SA1142,0,0,0,0,0,0,3,15,3,65,2,20,3,90,3,1-5,,,,,,,,,3,100,""
19-006,39,02801,X2673-14,SA1141,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,40,02801ThoraM,X2673-14,SA1141,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,41,02805,X1986-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,42,02805ThyM,X1986-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,43,02805AbdM,X1986-4,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,44,02958,X0847-2112253M2,SA919,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,45,02958NeckM,X0847-2112253M2,SA919,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,46,02958L.AxiM,X0847-2112253M2,SA919,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,47,02958L.Kid,X0847-2112253M2,SA919,0,0,0,0,0,0,3,25,1,0-1,1,30,3,95,0,0,,,,,,,,,3,100,""
19-006,48,02959,X0847-2112253M3,SA919,0,0,0,0,0,0,3,30,1,0-1,1,20,3,90,0,0,,,,,,,,,3,100,""
19-006,49,02959NeckM,X0847-2112253M3,SA919,0,0,0,0,0,0,3,35,1,1,1,60,3,100,0,0,,,,,,,,,3,100,""
19-006,50,02959L.AxiM,X0847-2112253M3,SA919,0,0,0,0,0,0,3,35,2,1,1,80,3,100,0,0,,,,,,,,,3,100,""
19-006,51,02959FlankM,X0847-2112253M3,SA919,0,0,0,0,0,0,3,25,1,1,1,50,2,80,0,0,,,,,,,,,3,100,""
19-006,52,02959AbdM,X0847-2112253M3,SA919,0,0,0,0,0,0,3,35,2,1,1,60,3,100,0,0,,,,,,,,,3,100,""
19-006,53,02959Kid,X0847-2112253M3,SA919,0,0,0,0,0,0,3,30,1,0-1,1,60,3,95,0,0,,,,,,,,,3,100,""
19-006,54,02960,X0847-2112253M4,SA919,0,0,0,0,0,0,3,30,1,0-1,1,30,3,85,0,0,,,,,,,,,3,100,""
19-006,55,02960NeckM,X0847-2112253M4,SA919,0,0,0,0,0,0,3,30,1,0-1,1,70,3,90,0,0,,,,,,,,,3,100,""
19-006,56,03146,X0011-2361R2,SA535,0,0,0,0,0,0,3,30,1,0-1,2,45,3,100,3,85,,,,,,,,,3,100,""
19-006,57,03146AxiM,X0011-2361R2,SA535,0,0,0,0,0,0,3,35,1,0-1,2,55,3,100,3,85,,,,,,,,,3,100,""
19-006,58,03146-4,X0011-2361R2,SA535,0,0,0,0,0,0,3,40,2,0-1,2,50,2,85,3,85,,,,,,,,,3,100,""
19-006,59,03147,X0011-2361R3,SA535,0,0,0,0,0,0,3,35,1,0-1,2,45,3,95,3,85,,,,,,,,,3,100,""
19-006,60,03147ThorM,X0011-2361R3,SA535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,100,"CD3+,CD20*-,CD45*-"
19-006,61,03148,X0011-2361R4,SA535,0,0,0,0,0,0,3,55,1,0-1,2,40,3,95,3,50,,,,,,,,,3,100,""
19-006,62,02674Th,X0016-4143372,SA575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,100,"CD3+,CD20*-,CD45*-"
19-006,63,03086,X0847-216,SA919,0,0,0,0,0,0,3,30,1,0-1,1,60,3,95,0,0,,,,,,,,,3,100,""
19-006,64,03031,X0028-161,SA609,0,0,2,5,0,0,3,55,0,0,1,1-5,0,0,3,60,,,,,,,,,0,100,""
19-006,65,03032,X0028-162,SA609,0,0,1,5,0,0,3,55,0,0,1,1,0,0,3,55,,,,,,,,,0,100,""
19-006,66,03033,X0028-163,SA609,0,0,2,5,0,0,3,60,0,0,1,1-5,0,0,3,55,,,,,,,,,1,0-1,""
19-006,67,03033-4,X0028-163,SA609,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,68,03034,X0028-164,SA609,,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,69,02926,X3629-16,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,70,02926-4,X3629-16,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,71,02928,X3629-18,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,72,02928-4,X3629-18,"",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
19-006,m,marker,"","",,,,,,,,,,"",,"",,,,"",,,,,,,,,,"",""
