ens_gene_id,symbol,chr,tagwise_dispersion,gene_type
ENSG00000005339,CREBBP,16,0.281,trans
ENSG00000005379,TSPOAP1,17,0.415,trans
ENSG00000005421,PON1,7,0.237,trans
ENSG00000005436,GCFC2,2,0.127,trans
ENSG00000005448,WDR54,2,0.254,trans
ENSG00000005469,CROT,7,0.162,trans
ENSG00000005471,ABCB4,7,0.799,trans
ENSG00000005483,KMT2E,7,0.123,trans
ENSG00000005486,RHBDD2,7,0.08,trans
ENSG00000005513,SOX8,16,0.148,trans
ENSG00000005700,IBTK,6,0.088,trans
ENSG00000005801,ZNF195,11,0.108,trans
ENSG00000005810,MYCBP2,13,0.358,trans
ENSG00000005812,FBXL3,13,0.1,trans
ENSG00000005844,ITGAL,16,0.193,trans
ENSG00000005882,PDK2,17,0.093,trans
ENSG00000005884,ITGA3,17,0.124,trans
ENSG00000005889,ZFX,X,0.15,trans
ENSG00000005893,LAMP2,X,0.123,trans
ENSG00000005961,ITGA2B,17,0.328,trans
ENSG00000005981,ASB4,7,0.317,trans
ENSG00000006007,GDE1,16,0.101,trans
ENSG00000006015,REX1BD,19,0.147,trans
ENSG00000006016,CRLF1,19,0.276,trans
ENSG00000006025,OSBPL7,17,0.3,trans
ENSG00000006042,TMEM98,17,0.165,trans
ENSG00000006047,YBX2,17,0.241,trans
ENSG00000006059,KRT33A,17,0.266,trans
ENSG00000006118,TMEM132A,11,0.172,trans
ENSG00000006125,AP2B1,17,3.073,trans
ENSG00000006194,ZNF263,16,0.216,trans
ENSG00000006210,CX3CL1,16,0.154,trans
ENSG00000006282,SPATA20,17,0.239,trans
ENSG00000006283,CACNA1G,17,0.347,trans
ENSG00000006327,TNFRSF12A,16,0.092,trans
ENSG00000006377,DLX6,7,0.382,trans
ENSG00000006432,MAP3K9,14,0.342,trans
ENSG00000006451,RALA,7,0.116,trans
ENSG00000006453,BAIAP2L1,7,0.167,trans
ENSG00000006459,KDM7A,7,0.183,trans
ENSG00000006468,ETV1,7,0.249,trans
ENSG00000006530,AGK,7,1.15,trans
ENSG00000006534,ALDH3B1,11,0.573,trans
ENSG00000006555,TTC22,1,0.145,trans
ENSG00000006576,PHTF2,7,0.141,trans
ENSG00000006607,FARP2,2,0.295,trans
ENSG00000006611,USH1C,11,0.67,trans
ENSG00000006625,GGCT,7,0.14,trans
ENSG00000006634,DBF4,7,0.111,trans
ENSG00000006638,TBXA2R,19,0.177,trans
ENSG00000006652,IFRD1,7,0.113,trans
ENSG00000006695,COX10,17,0.174,trans
ENSG00000006704,GTF2IRD1,7,0.134,trans
ENSG00000006712,PAF1,19,0.147,trans
ENSG00000006715,VPS41,7,0.19,trans
ENSG00000006740,ARHGAP44,17,0.175,trans
ENSG00000006744,ELAC2,17,0.162,trans
ENSG00000006747,SCIN,7,0.538,trans
ENSG00000006756,ARSD,X,0.163,trans
ENSG00000006757,PNPLA4,X,0.134,trans
ENSG00000006788,MYH13,17,2.238,trans
ENSG00000006831,ADIPOR2,12,0.068,trans
ENSG00000006837,CDKL3,5,0.617,trans
ENSG00000007001,UPP2,2,1.183,trans
ENSG00000007047,MARK4,19,0.103,trans
ENSG00000007062,PROM1,4,0.216,trans
ENSG00000007080,CCDC124,19,0.093,trans
ENSG00000007168,PAFAH1B1,17,0.206,trans
ENSG00000007171,NOS2,17,1.548,trans
ENSG00000007202,BLTP2,17,0.329,trans
ENSG00000007216,SLC13A2,17,0.329,trans
ENSG00000007237,GAS7,17,0.158,trans
ENSG00000007255,TRAPPC6A,19,0.191,trans
ENSG00000007264,MATK,19,0.218,trans
ENSG00000007314,SCN4A,17,1.191,trans
ENSG00000007341,ST7L,1,0.24,trans
ENSG00000007372,PAX6,11,0.193,trans
ENSG00000007376,RPUSD1,16,0.105,trans
ENSG00000007384,RHBDF1,16,0.165,trans
ENSG00000007392,LUC7L,16,0.204,trans
ENSG00000007402,CACNA2D2,3,0.296,trans
ENSG00000007516,BAIAP3,16,0.472,trans
ENSG00000007520,TSR3,16,0.109,trans
ENSG00000007541,PIGQ,16,0.175,trans
ENSG00000007545,CRAMP1,16,0.734,trans
ENSG00000007866,TEAD3,6,0.119,trans
ENSG00000007923,DNAJC11,1,0.195,trans
ENSG00000007933,FMO3,1,0.151,trans
ENSG00000007944,MYLIP,6,0.116,trans
ENSG00000007952,NOX1,X,0.413,trans
ENSG00000007968,E2F2,1,0.14,trans
ENSG00000008018,PSMB1,6,0.114,trans
ENSG00000008083,JARID2,6,0.23,trans
ENSG00000008086,CDKL5,X,1.431,trans
ENSG00000008128,CDK11A,1,0.121,trans
ENSG00000008130,NADK,1,0.233,trans
ENSG00000008196,TFAP2B,6,0.373,trans
ENSG00000008226,DLEC1,3,0.38,trans
ENSG00000008256,CYTH3,7,0.173,trans
ENSG00000008277,ADAM22,7,0.376,trans
ENSG00000008282,SYPL1,7,0.106,trans
ENSG00000008283,CYB561,17,0.192,trans
ENSG00000008294,SPAG9,17,0.221,trans
ENSG00000008300,CELSR3,3,0.437,trans
ENSG00000008311,AASS,7,0.527,trans
ENSG00000008323,PLEKHG6,12,0.127,trans
ENSG00000008324,SS18L2,3,0.146,trans
ENSG00000008382,MPND,19,0.129,trans
ENSG00000008394,MGST1,12,0.085,trans
ENSG00000008405,CRY1,12,0.208,trans
ENSG00000008441,NFIX,19,0.121,trans
ENSG00000008513,ST3GAL1,8,0.148,trans
ENSG00000008516,MMP25,16,0.204,trans
ENSG00000008517,IL32,16,0.425,trans
ENSG00000008710,PKD1,16,0.182,trans
ENSG00000008735,MAPK8IP2,22,1.887,trans
ENSG00000008838,MED24,17,0.142,trans
ENSG00000008853,RHOBTB2,8,0.189,trans
ENSG00000008869,HEATR5B,2,0.216,trans
ENSG00000008952,SEC62,3,0.098,trans
ENSG00000008988,RPS20,8,0.092,trans
ENSG00000009307,CSDE1,1,0.141,trans
ENSG00000009335,UBE3C,7,0.26,trans
ENSG00000009413,REV3L,6,0.281,trans
ENSG00000009709,PAX7,1,0.542,trans
ENSG00000009724,MASP2,1,0.281,trans
ENSG00000009765,IYD,6,0.214,trans
ENSG00000009780,FAM76A,1,0.112,trans
ENSG00000009790,TRAF3IP3,1,0.174,trans
ENSG00000009830,POMT2,14,0.23,trans
ENSG00000009844,VTA1,6,0.099,trans
ENSG00000009950,MLXIPL,7,0.249,trans
ENSG00000009954,BAZ1B,7,0.147,trans
ENSG00000010017,RANBP9,6,0.109,trans
ENSG00000010030,ETV7,6,0.25,trans
ENSG00000010072,SPRTN,1,0.112,trans
ENSG00000010165,METTL13,1,0.334,trans
ENSG00000010219,DYRK4,12,0.316,trans
ENSG00000010244,ZNF207,17,0.142,trans
ENSG00000010256,UQCRC1,3,0.109,trans
ENSG00000010270,STARD3NL,7,0.145,trans
ENSG00000010278,CD9,12,0.091,trans
ENSG00000010282,HHATL,3,2.018,trans
ENSG00000010292,NCAPD2,12,0.199,trans
ENSG00000010295,IFFO1,12,0.322,trans
ENSG00000010310,GIPR,19,0.337,trans
ENSG00000010318,PHF7,3,0.293,trans
ENSG00000010319,SEMA3G,3,0.16,trans
ENSG00000010322,NISCH,3,0.246,trans
ENSG00000010327,STAB1,3,0.27,trans
ENSG00000010361,FUZ,19,0.449,trans
ENSG00000010404,IDS,X,0.11,trans
ENSG00000010438,PRSS3,9,0.233,trans
ENSG00000010539,ZNF200,16,0.175,trans
ENSG00000010610,CD4,12,0.309,trans
ENSG00000010626,LRRC23,12,0.117,trans
ENSG00000010671,BTK,X,0.145,trans
ENSG00000010704,HFE,6,0.117,trans
ENSG00000010803,SCMH1,1,0.11,trans
ENSG00000010810,FYN,6,0.139,trans
ENSG00000010818,HIVEP2,6,0.16,trans
ENSG00000010932,FMO1,1,1.747,trans
ENSG00000011007,ELOA,1,0.12,trans
ENSG00000011009,LYPLA2,1,0.099,trans
ENSG00000011021,CLCN6,1,0.265,trans
ENSG00000011028,MRC2,17,0.23,trans
ENSG00000011052,NME1-NME2,17,0.488,trans
ENSG00000011083,SLC6A7,5,0.213,trans
ENSG00000011105,TSPAN9,12,0.212,trans
ENSG00000011114,BTBD7,14,0.139,trans
ENSG00000011132,APBA3,19,0.149,trans
ENSG00000011143,MKS1,17,0.184,trans
ENSG00000011198,ABHD5,3,0.308,trans
ENSG00000011243,AKAP8L,19,0.188,trans
ENSG00000011258,MBTD1,17,0.158,trans
ENSG00000011260,UTP18,17,0.226,trans
ENSG00000011275,RNF216,7,0.128,trans
ENSG00000011295,TTC19,17,0.187,trans
ENSG00000011304,PTBP1,19,0.124,trans
ENSG00000011332,DPF1,19,0.477,trans
ENSG00000011347,SYT7,11,0.2,trans
ENSG00000011376,LARS2,3,0.263,trans
ENSG00000011405,PIK3C2A,11,0.135,trans
ENSG00000011422,PLAUR,19,0.139,trans
ENSG00000011426,ANLN,7,0.166,trans
ENSG00000011451,WIZ,19,0.144,trans
ENSG00000011454,RABGAP1,9,0.194,trans
ENSG00000011465,DCN,12,0.173,trans
ENSG00000011478,QPCTL,19,0.152,trans
ENSG00000011485,PPP5C,19,0.135,trans
ENSG00000011523,CEP68,2,0.166,trans
ENSG00000011566,MAP4K3,2,0.142,trans
ENSG00000011590,ZBTB32,19,0.551,trans
ENSG00000011638,LDAF1,16,0.088,trans
ENSG00000011677,GABRA3,X,0.335,trans
ENSG00000012048,BRCA1,17,0.525,trans
ENSG00000012061,ERCC1,19,0.152,trans
ENSG00000012124,CD22,19,0.468,trans
ENSG00000012174,MBTPS2,X,0.2,trans
ENSG00000012211,PRICKLE3,X,0.123,trans
ENSG00000012223,LTF,3,0.196,trans
ENSG00000012232,EXTL3,8,0.245,trans
ENSG00000012660,ELOVL5,6,0.191,trans
ENSG00000012779,ALOX5,10,0.181,trans
ENSG00000012817,KDM5D,Y,0.414,trans
ENSG00000012822,CALCOCO1,12,0.204,trans
ENSG00000012963,UBR7,14,0.143,trans
ENSG00000012983,MAP4K5,14,0.173,trans
ENSG00000013016,EHD3,2,0.214,trans
ENSG00000013275,PSMC4,19,0.111,trans
ENSG00000013288,MAN2B2,4,0.16,trans
ENSG00000013293,SLC7A14,3,0.206,trans
ENSG00000013297,CLDN11,3,0.184,trans
ENSG00000013306,SLC25A39,17,0.106,trans
ENSG00000013364,MVP,16,0.103,trans
ENSG00000013374,NUB1,7,0.659,trans
ENSG00000013375,PGM3,6,0.113,trans
ENSG00000013392,RWDD2A,6,0.233,trans
ENSG00000013441,CLK1,2,0.198,trans
ENSG00000013503,POLR3B,12,0.209,trans
ENSG00000013523,ANGEL1,14,0.295,trans
ENSG00000013561,RNF14,5,0.134,trans
ENSG00000013563,DNASE1L1,X,0.165,trans
ENSG00000013573,DDX11,12,0.26,trans
ENSG00000013583,HEBP1,12,0.106,trans
ENSG00000013588,GPRC5A,12,0.11,trans
ENSG00000013619,MAMLD1,X,0.287,trans
ENSG00000013725,CD6,11,0.329,trans
ENSG00000013810,TACC3,4,0.134,trans
ENSG00000014123,UFL1,6,0.085,trans
ENSG00000014138,POLA2,11,0.18,trans
ENSG00000014164,ZC3H3,8,0.086,trans
ENSG00000014216,CAPN1,11,0.112,trans
ENSG00000014257,ACP3,3,0.308,trans
ENSG00000014641,MDH1,2,0.427,trans
ENSG00000014824,SLC30A9,4,0.15,trans
ENSG00000014914,MTMR11,1,0.358,trans
ENSG00000014919,COX15,10,0.154,trans
ENSG00000015133,CCDC88C,14,0.232,trans
ENSG00000015153,YAF2,12,0.098,trans
ENSG00000015171,ZMYND11,10,0.189,cis
ENSG00000015285,WAS,X,0.138,trans
ENSG00000015475,BID,22,0.104,trans
ENSG00000015479,MATR3,5,0.116,trans
ENSG00000015532,XYLT2,17,0.147,trans
ENSG00000015568,RGPD5,2,0.44,trans
ENSG00000015676,NUDCD3,7,0.247,trans
ENSG00000016391,CHDH,3,0.174,trans
ENSG00000016402,IL20RA,6,0.128,trans
ENSG00000016602,CLCA4,1,0.439,trans
ENSG00000016864,GLT8D1,3,0.162,trans
ENSG00000017260,ATP2C1,3,0.192,trans
ENSG00000017427,IGF1,12,0.323,trans
ENSG00000017483,SLC38A5,X,1.775,trans
ENSG00000017797,RALBP1,18,0.099,trans
ENSG00000018189,RUFY3,4,0.236,trans
ENSG00000018236,CNTN1,12,0.392,trans
ENSG00000018280,SLC11A1,2,0.327,trans
ENSG00000018408,WWTR1,3,0.109,trans
ENSG00000018510,AGPS,2,0.153,trans
ENSG00000018610,STEEP1,X,1.132,trans
ENSG00000018625,ATP1A2,1,1.416,trans
ENSG00000018699,TTC27,2,0.196,trans
ENSG00000018869,ZNF582,19,0.192,trans
ENSG00000019144,PHLDB1,11,0.576,trans
ENSG00000019169,MARCO,2,0.179,trans
ENSG00000019485,PRDM11,11,0.552,trans
ENSG00000019549,SNAI2,8,0.974,trans
ENSG00000019582,CD74,5,0.213,trans
ENSG00000019991,HGF,7,0.287,trans
ENSG00000019995,ZRANB1,10,0.084,trans
ENSG00000020129,NCDN,1,0.139,trans
ENSG00000020181,ADGRA2,8,0.253,trans
ENSG00000020256,ZFP64,20,0.183,trans
ENSG00000020426,MNAT1,14,0.114,trans
ENSG00000020577,SAMD4A,14,0.234,trans
ENSG00000020633,RUNX3,1,0.209,trans
ENSG00000020922,MRE11,11,0.342,trans
ENSG00000021300,PLEKHB1,11,0.137,trans
ENSG00000021355,SERPINB1,6,0.141,trans
ENSG00000021461,CYP3A43,7,0.307,trans
ENSG00000021488,SLC7A9,19,0.244,trans
ENSG00000021574,SPAST,2,0.119,trans
ENSG00000021645,NRXN3,14,1.828,trans
ENSG00000021762,OSBPL5,11,0.117,trans
ENSG00000021776,AQR,15,0.192,trans
ENSG00000021826,CPS1,2,0.158,trans
ENSG00000022267,FHL1,X,1.536,trans
ENSG00000022277,RTF2,20,0.148,trans
ENSG00000022556,NLRP2,19,0.126,trans
ENSG00000022567,SLC45A4,8,0.18,trans
ENSG00000022840,RNF10,12,0.102,trans
ENSG00000022976,ZNF839,14,0.245,trans
ENSG00000023041,ZDHHC6,10,0.137,trans
ENSG00000023171,GRAMD1B,11,0.186,trans
ENSG00000023191,RNH1,11,0.094,trans
ENSG00000023228,NDUFS1,2,0.071,trans
ENSG00000023287,RB1CC1,8,0.101,trans
ENSG00000023318,ERP44,9,0.094,trans
ENSG00000023330,ALAS1,3,0.18,trans
ENSG00000023445,BIRC3,11,0.244,trans
ENSG00000023516,AKAP11,13,0.182,trans
ENSG00000023572,GLRX2,1,0.128,trans
ENSG00000023608,SNAPC1,14,0.138,trans
ENSG00000023697,DERA,12,0.115,trans
ENSG00000023734,STRAP,12,0.159,trans
ENSG00000023839,ABCC2,10,0.315,trans
ENSG00000023892,DEF6,6,0.222,trans
ENSG00000023902,PLEKHO1,1,0.12,trans
ENSG00000023909,GCLM,1,0.08,trans
ENSG00000024048,UBR2,6,0.198,trans
ENSG00000024422,EHD2,19,0.143,trans
ENSG00000024526,DEPDC1,1,0.157,trans
ENSG00000024862,CCDC28A,6,0.133,trans
ENSG00000025039,RRAGD,6,0.122,trans
ENSG00000025156,HSF2,6,0.121,trans
ENSG00000025293,PHF20,20,0.136,trans
ENSG00000025423,HSD17B6,12,0.331,trans
ENSG00000025434,NR1H3,11,0.124,trans
ENSG00000025708,TYMP,22,0.158,trans
ENSG00000025770,NCAPH2,22,0.194,trans
ENSG00000025772,TOMM34,20,0.18,trans
ENSG00000025796,SEC63,6,0.149,trans
ENSG00000025800,KPNA6,1,0.145,trans
ENSG00000026025,VIM,10,0.387,cis
ENSG00000026036,RTEL1-TNFRSF6B,20,0.858,trans
ENSG00000026103,FAS,10,0.235,trans
ENSG00000026297,RNASET2,6,0.09,trans
ENSG00000026508,CD44,11,0.225,trans
ENSG00000026559,KCNG1,20,0.173,trans
ENSG00000026652,AGPAT4,6,0.255,trans
ENSG00000026950,BTN3A1,6,0.22,trans
ENSG00000027001,MIPEP,13,0.146,trans
ENSG00000027075,PRKCH,14,0.231,trans
ENSG00000027697,IFNGR1,6,0.104,trans
ENSG00000027847,B4GALT7,5,0.118,trans
ENSG00000027869,SH2D2A,1,0.211,trans
ENSG00000028116,VRK2,2,0.122,trans
ENSG00000028137,TNFRSF1B,1,0.194,trans
ENSG00000028203,VEZT,12,0.182,trans
ENSG00000028277,POU2F2,19,0.168,trans
ENSG00000028310,BRD9,5,0.35,cis
ENSG00000028528,SNX1,15,0.223,trans
ENSG00000028839,TBPL1,6,0.127,trans
ENSG00000029153,BMAL2,12,0.401,trans
ENSG00000029363,BCLAF1,6,0.139,trans
ENSG00000029364,SLC39A9,14,0.18,trans
ENSG00000029534,ANK1,8,1.068,trans
ENSG00000029639,TFB1M,6,0.137,trans
ENSG00000029725,RABEP1,17,1.152,trans
ENSG00000029993,HMGB3,X,0.224,trans
ENSG00000030066,NUP160,11,0.083,trans
ENSG00000030110,BAK1,6,0.142,trans
ENSG00000030419,IKZF2,2,0.185,trans
ENSG00000030582,GRN,17,0.084,trans
ENSG00000031003,FAM13B,5,0.203,trans
ENSG00000031081,ARHGAP31,3,0.192,trans
ENSG00000031691,CENPQ,6,0.106,trans
ENSG00000031698,SARS1,1,0.155,trans
ENSG00000031823,RANBP3,19,0.164,trans
ENSG00000032219,ARID4A,14,0.146,trans
ENSG00000032389,EIPR1,2,0.115,trans
ENSG00000032444,PNPLA6,19,0.163,trans
ENSG00000032742,IFT88,13,0.181,trans
ENSG00000033011,ALG1,16,0.146,trans
ENSG00000033030,ZCCHC8,12,0.092,trans
ENSG00000033050,ABCF2,7,0.153,trans
ENSG00000033100,CHPF2,7,0.122,trans
ENSG00000033122,LRRC7,1,0.447,trans
ENSG00000033170,FUT8,14,0.162,trans
ENSG00000033178,UBA6,4,0.15,trans
ENSG00000033327,GAB2,11,0.262,trans
ENSG00000033627,ATP6V0A1,17,0.173,trans
ENSG00000033800,PIAS1,15,0.253,trans
ENSG00000033867,SLC4A7,3,0.192,trans
ENSG00000034053,APBA2,15,0.078,trans
ENSG00000034152,MAP2K3,17,0.148,trans
ENSG00000034239,CLXN,8,0.792,trans
ENSG00000034510,TMSB10,2,0.187,trans
ENSG00000034533,ASTE1,3,0.159,trans
ENSG00000034677,RNF19A,8,0.172,trans
ENSG00000034693,PEX3,6,0.149,trans
ENSG00000034713,GABARAPL2,16,0.113,trans
ENSG00000035115,SH3YL1,2,0.153,trans
ENSG00000035141,FAM136A,2,0.152,trans
ENSG00000035403,VCL,10,0.547,trans
ENSG00000035499,DEPDC1B,5,0.159,trans
ENSG00000035664,DAPK2,15,0.129,trans
ENSG00000035681,NSMAF,8,0.181,trans
ENSG00000035687,ADSS2,1,0.139,trans
ENSG00000035720,STAP1,4,0.47,trans
ENSG00000035862,TIMP2,17,0.079,trans
ENSG00000035928,RFC1,4,0.184,trans
ENSG00000036054,TBC1D23,3,0.093,trans
ENSG00000036257,CUL3,2,0.135,trans
ENSG00000036448,MYOM2,8,1.039,trans
ENSG00000036530,CYP46A1,14,0.595,trans
ENSG00000036549,ZZZ3,1,0.225,trans
ENSG00000036672,USP2,11,0.221,trans
ENSG00000036828,CASR,3,4.131,trans
ENSG00000037042,TUBG2,17,0.22,trans
ENSG00000037241,RPL26L1,5,0.17,trans
ENSG00000037280,FLT4,5,0.241,trans
ENSG00000037474,NSUN2,5,0.303,cis
ENSG00000037637,FBXO42,1,0.137,trans
ENSG00000037749,MFAP3,5,3.087,trans
ENSG00000037757,MRI1,19,0.234,trans
ENSG00000037897,METTL1,12,0.129,trans
ENSG00000037965,HOXC8,12,0.182,trans
ENSG00000038002,AGA,4,0.125,trans
ENSG00000038210,PI4K2B,4,0.098,trans
ENSG00000038219,BOD1L1,4,0.102,trans
ENSG00000038274,MAT2B,5,0.088,trans
ENSG00000038295,TLL1,4,0.328,trans
ENSG00000038358,EDC4,16,0.182,trans
ENSG00000038382,TRIO,5,0.361,cis
ENSG00000038427,VCAN,5,0.872,trans
ENSG00000038532,CLEC16A,16,0.276,trans
ENSG00000038945,MSR1,8,0.248,trans
ENSG00000039068,CDH1,16,0.292,trans
ENSG00000039123,MTREX,5,0.171,trans
ENSG00000039139,DNAH5,5,0.29,cis
ENSG00000039319,ZFYVE16,5,0.194,trans
ENSG00000039523,RIPOR1,16,0.119,trans
ENSG00000039537,C6,5,1.116,cis
ENSG00000039560,RAI14,5,0.519,cis
ENSG00000039600,SOX30,5,0.481,trans
ENSG00000039650,PNKP,19,0.18,trans
ENSG00000039987,BEST2,19,0.255,trans
ENSG00000040199,PHLPP2,16,0.272,trans
ENSG00000040275,SPDL1,5,0.171,trans
ENSG00000040341,STAU2,8,0.124,trans
ENSG00000040487,SLC66A1,1,0.105,trans
ENSG00000040531,CTNS,17,0.19,trans
ENSG00000040608,RTN4R,22,0.101,trans
ENSG00000040633,PHF23,17,0.135,trans
ENSG00000040731,CDH10,5,0.351,cis
ENSG00000040933,INPP4A,2,0.338,trans
ENSG00000041353,RAB27B,18,0.138,trans
ENSG00000041357,PSMA4,15,0.107,trans
ENSG00000041515,MYO16,13,0.234,trans
ENSG00000041802,LSG1,3,0.208,trans
ENSG00000041880,PARP3,3,0.161,trans
ENSG00000041982,TNC,9,0.498,trans
ENSG00000041988,THAP3,1,0.135,trans
ENSG00000042088,TDP1,14,0.16,trans
ENSG00000042286,AIFM2,10,0.148,trans
ENSG00000042304,C2orf83,2,0.464,trans
ENSG00000042317,SPATA7,14,0.144,trans
ENSG00000042429,MED17,11,0.182,trans
ENSG00000042445,RETSAT,2,0.194,trans
ENSG00000042493,CAPG,2,0.133,trans
ENSG00000042753,AP2S1,19,0.114,trans
ENSG00000042781,USH2A,1,1.238,trans
ENSG00000042832,TG,8,0.465,trans
ENSG00000042980,ADAM28,8,0.206,trans
ENSG00000043039,BARX2,11,0.105,trans
ENSG00000043093,DCUN1D1,3,0.116,trans
ENSG00000043143,JADE2,5,0.246,trans
ENSG00000043462,LCP2,5,0.319,trans
ENSG00000043514,TRIT1,1,0.147,trans
ENSG00000043591,ADRB1,10,0.264,trans
ENSG00000044090,CUL7,6,0.254,trans
ENSG00000044115,CTNNA1,5,0.133,trans
ENSG00000044446,PHKA2,X,0.285,trans
ENSG00000044459,CNTLN,9,0.134,trans
ENSG00000044524,EPHA3,3,0.299,trans
ENSG00000044574,HSPA5,9,0.107,trans
ENSG00000046604,DSG2,18,0.161,trans
ENSG00000046647,GEMIN8,X,0.118,trans
ENSG00000046651,OFD1,X,0.161,trans
ENSG00000046653,GPM6B,X,0.097,trans
ENSG00000046889,PREX2,8,0.271,trans
ENSG00000047056,WDR37,10,0.231,cis
ENSG00000047188,YTHDC2,5,0.21,trans
ENSG00000047230,CTPS2,X,0.161,trans
ENSG00000047249,ATP6V1H,8,0.104,trans
ENSG00000047315,POLR2B,4,0.263,trans
ENSG00000047346,ATOSA,15,0.16,trans
ENSG00000047365,ARAP2,4,0.209,trans
ENSG00000047410,TPR,1,0.209,trans
ENSG00000047457,CP,3,0.291,trans
ENSG00000047578,KATNIP,16,0.289,trans
ENSG00000047579,DTNBP1,6,0.113,trans
ENSG00000047597,XK,X,0.308,trans
ENSG00000047621,C12orf4,12,0.164,trans
ENSG00000047634,SCML1,X,0.664,trans
ENSG00000047644,WWC3,X,0.207,trans
ENSG00000047662,FAM184B,4,0.573,trans
ENSG00000047849,MAP4,3,0.26,trans
ENSG00000047932,GOPC,6,0.139,trans
ENSG00000048028,USP28,11,0.348,trans
ENSG00000048052,HDAC9,7,0.183,trans
ENSG00000048140,TSPAN17,5,0.202,trans
ENSG00000048162,NOP16,5,1.309,trans
ENSG00000048342,CC2D2A,4,0.148,trans
ENSG00000048392,RRM2B,8,0.199,trans
