SA535X4XB05985-A98262A-R04-C17,SA535X4XB05985-A98262A-R06-C09,SA535X4XB05985-A98262A-R07-C30,SA535X4XB05985-A98262A-R08-C07,SA535X4XB05985-A98262A-R09-C15,SA535X4XB05985-A98262A-R09-C25,SA535X4XB05985-A98262A-R09-C29,SA535X4XB05985-A98262A-R10-C24,SA535X4XB05985-A98262A-R11-C13,SA535X4XB05985-A98262A-R12-C44,SA535X4XB05985-A98262A-R13-C12,SA535X4XB05985-A98262A-R13-C15,SA535X4XB05985-A98262A-R14-C16,SA535X4XB05985-A98262A-R14-C21,SA535X4XB05985-A98262A-R16-C30
1_18000001_18500000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_18500001_19000000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_19000001_19500000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_19500001_20000000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_20000001_20500000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_20500001_21000000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_21000001_21500000,4,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_21500001_22000000,3,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_22000001_22500000,3,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_22500001_23000000,3,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_23000001_23500000,3,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_23500001_24000000,3,4,3,4,4,5,3,4,4,4,5,4,3,3,3
1_24500001_25000000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_25000001_25500000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_26000001_26500000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_26500001_27000000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_27000001_27500000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_27500001_28000000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_28000001_28500000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_28500001_29000000,3,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_29000001_29500000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_30500001_31000000,4,4,3,4,3,5,4,4,4,4,5,4,3,3,3
1_31000001_31500000,4,4,3,4,3,5,4,4,4,4,5,4,3,3,3
1_31500001_32000000,4,4,3,4,3,5,4,4,4,4,5,4,3,3,3
1_32000001_32500000,4,4,3,4,3,5,4,4,4,4,5,4,3,3,3
1_32500001_33000000,4,4,3,4,3,5,4,4,4,4,5,4,3,3,3
1_33000001_33500000,7,7,6,7,6,5,4,7,7,7,8,7,3,6,6
1_33500001_34000000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_34000001_34500000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_35500001_36000000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_36000001_36500000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_36500001_37000000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_37000001_37500000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,6
1_37500001_38000000,7,7,6,7,6,8,6,7,7,7,8,7,6,6,7
1_38000001_38500000,7,7,7,7,6,8,6,7,7,7,8,7,6,6,7
1_38500001_39000000,7,7,7,7,6,8,6,7,7,7,8,7,6,6,7
1_39000001_39500000,7,7,7,7,6,8,6,7,7,7,8,7,6,6,7
1_39500001_40000000,7,7,7,7,6,8,6,7,7,7,8,7,6,6,7
1_40000001_40500000,7,7,7,7,6,8,6,7,7,7,8,7,6,6,7
1_40500001_41000000,7,7,7,7,6,8,6,7,7,7,8,7,7,6,7
1_41000001_41500000,7,7,7,7,6,8,6,7,7,7,8,7,7,6,7
1_41500001_42000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_42000001_42500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_42500001_43000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_43000001_43500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_43500001_44000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_44000001_44500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_44500001_45000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_45000001_45500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_45500001_46000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_46000001_46500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_46500001_47000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_47000001_47500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_47500001_48000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_48000001_48500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_49000001_49500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_50500001_51000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_51000001_51500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_51500001_52000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_52000001_52500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_52500001_53000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_53000001_53500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_53500001_54000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_54000001_54500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_54500001_55000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_55000001_55500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_55500001_56000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_56000001_56500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_56500001_57000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_57000001_57500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_57500001_58000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_58000001_58500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_59000001_59500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_59500001_60000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_60000001_60500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_61000001_61500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_61500001_62000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_62000001_62500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_62500001_63000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_63000001_63500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_63500001_64000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_64000001_64500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_64500001_65000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_65000001_65500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_65500001_66000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_66500001_67000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_67000001_67500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_68000001_68500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_68500001_69000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_69500001_70000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_70500001_71000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_71000001_71500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_72500001_73000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_73000001_73500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_73500001_74000000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_74000001_74500000,7,7,7,7,7,8,6,7,7,8,8,7,7,6,7
1_75000001_75500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_76000001_76500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_76500001_77000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_77000001_77500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_77500001_78000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_78000001_78500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_78500001_79000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_79000001_79500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_79500001_80000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_80000001_80500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_80500001_81000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_81500001_82000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_82000001_82500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_83000001_83500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_84000001_84500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_85000001_85500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_85500001_86000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_86500001_87000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_87500001_88000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_88000001_88500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_88500001_89000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_89000001_89500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_89500001_90000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_90500001_91000000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_91000001_91500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_92000001_92500000,7,7,7,7,7,8,6,7,7,7,8,7,7,6,7
1_92500001_93000000,7,7,7,7,5,8,5,7,7,7,8,7,7,6,7
1_93000001_93500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_93500001_94000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_94000001_94500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_94500001_95000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_95000001_95500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_95500001_96000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_96000001_96500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_97000001_97500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_97500001_98000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_98000001_98500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_98500001_99000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_99000001_99500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_100000001_100500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_100500001_101000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_101000001_101500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_101500001_102000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_102000001_102500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_102500001_103000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_103000001_103500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_104500001_105000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_105500001_106000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_106000001_106500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_106500001_107000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_107000001_107500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_107500001_108000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_108000001_108500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_109500001_110000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_110500001_111000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_111000001_111500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_111500001_112000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_112000001_112500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_113000001_113500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_114500001_115000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_115000001_115500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_115500001_116000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_116000001_116500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_116500001_117000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_117000001_117500000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_117500001_118000000,5,5,5,5,5,6,5,4,5,5,6,5,5,4,5
1_118000001_118500000,5,5,5,5,5,6,5,4,5,5,6,6,5,4,5
1_118500001_119000000,5,5,5,5,5,6,5,4,5,5,6,6,5,4,5
1_119500001_120000000,5,5,5,5,5,6,5,4,5,5,6,6,5,4,5
1_120000001_120500000,5,5,5,5,5,6,5,4,5,5,6,6,5,4,5
1_150000001_150500000,9,9,7,9,9,10,11,8,8,8,11,9,11,7,7
1_150500001_151000000,9,9,8,9,9,10,11,8,8,10,11,9,11,7,7
1_151000001_151500000,9,9,8,9,9,10,11,8,8,10,11,9,11,7,9
1_151500001_152000000,11,10,8,9,9,10,11,8,8,10,11,9,11,7,9
1_152500001_153000000,11,10,8,9,9,10,11,8,8,10,11,9,11,7,9
1_153000001_153500000,11,10,8,9,9,10,11,8,8,10,11,9,11,7,9
1_153500001_154000000,11,10,8,9,9,10,11,8,8,10,9,9,11,7,9
1_154000001_154500000,11,10,8,9,9,10,11,8,8,10,9,9,11,7,9
1_154500001_155000000,11,10,8,9,9,10,8,8,8,10,9,9,11,7,9
1_155000001_155500000,11,10,8,9,9,10,8,8,8,10,9,9,11,7,9
1_156000001_156500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_156500001_157000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_157000001_157500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_157500001_158000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_158000001_158500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_160000001_160500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_160500001_161000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_162000001_162500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_162500001_163000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_163000001_163500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_164000001_164500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_164500001_165000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_165000001_165500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_165500001_166000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_166500001_167000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_167000001_167500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_167500001_168000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_168000001_168500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_168500001_169000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_169000001_169500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_169500001_170000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_170500001_171000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_171000001_171500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_171500001_172000000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_172000001_172500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_173000001_173500000,8,8,6,7,9,8,8,7,8,8,9,8,8,7,6
1_173500001_174000000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_175000001_175500000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_175500001_176000000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_176500001_177000000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_177000001_177500000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_178000001_178500000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_179000001_179500000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_179500001_180000000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_180000001_180500000,8,8,6,7,9,8,8,7,8,8,9,8,7,7,6
1_181000001_181500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_181500001_182000000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_182000001_182500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_182500001_183000000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_183000001_183500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_183500001_184000000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_184000001_184500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_185000001_185500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_186000001_186500000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_186500001_187000000,8,8,6,7,9,8,8,7,8,8,8,8,7,7,6
1_188000001_188500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_188500001_189000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_189000001_189500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_189500001_190000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_190000001_190500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_190500001_191000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_191000001_191500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_191500001_192000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_192500001_193000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_193000001_193500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_194000001_194500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_194500001_195000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_195000001_195500000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_195500001_196000000,7,7,6,6,8,7,8,7,8,8,8,8,6,7,6
1_197000001_197500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_198000001_198500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_198500001_199000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_199000001_199500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_199500001_200000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_200000001_200500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_200500001_201000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_201000001_201500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_201500001_202000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_202000001_202500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_202500001_203000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_203000001_203500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_203500001_204000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_204000001_204500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_204500001_205000000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_205000001_205500000,8,7,6,7,8,8,8,7,8,8,8,8,6,7,6
1_207000001_207500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_208000001_208500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_208500001_209000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_209000001_209500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_209500001_210000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_210000001_210500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_210500001_211000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_211000001_211500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_211500001_212000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_212000001_212500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_212500001_213000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_213000001_213500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_213500001_214000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_214000001_214500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_214500001_215000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_215000001_215500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_215500001_216000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_216000001_216500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_216500001_217000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_217000001_217500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_218500001_219000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_219000001_219500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_219500001_220000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_220000001_220500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_220500001_221000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_221000001_221500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_221500001_222000000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_222000001_222500000,11,11,9,10,11,10,11,9,9,11,10,11,10,7,9
1_224500001_225000000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_225000001_225500000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_225500001_226000000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_226000001_226500000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_226500001_227000000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_227000001_227500000,11,11,9,10,11,9,11,9,9,11,10,11,10,7,9
1_227500001_228000000,11,11,9,10,11,9,11,11,9,11,10,11,10,7,9
1_228000001_228500000,11,11,9,11,11,11,11,11,11,11,11,11,10,7,11
1_229000001_229500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_229500001_230000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_230000001_230500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_230500001_231000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_231000001_231500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_231500001_232000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_232000001_232500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_232500001_233000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_233000001_233500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_233500001_234000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_234000001_234500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_234500001_235000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_235500001_236000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_236000001_236500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_236500001_237000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_237500001_238000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_238000001_238500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_238500001_239000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_239000001_239500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_240000001_240500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_240500001_241000000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
1_241000001_241500000,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
