DOB,Transplant Date,,Transplant site,Age at transplant,Strain,Tumor ID,Patient ID,SA ID,Passage,Source type,Treatment naive/pre,Date of Dx,Age at Dx,Metastasis,Mets at Dx,Date of mets Dx,Mets site,SQL Barcode,Cage,Comments for surgery,Wound dehiscence,,,DLP ID,10X ID,Intrathoracic Mass,Histology,Cell suspension vol (ul),Last tumor palpation,,Next tumor palpation,,Primary tumor removal,12 wks from PTR,16 wks from PTR,Euthanize,PTR-Mets,Time to mets detection,PET/CT,Second surgery,8wks after PTR,Metastasis,metastatic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/12/18,N,MFP,13wks,NRG,X0046-3304,CBX046,SA605,4,Primary tumor,Naive,11-Oct-13,64,Yes,No,24-Nov-14,"Bone, Liver",2464,HL180312,,,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen/ FFPE for brain, liver, lung",,,,"Micrometastasis in lung. No metastatic cells in liver, brain.",300,22/07/2018,non-palpable,5/23/18,,8/5/18,10/28/18,11/25/18,12/7/18,,,,,,,,,,7/19/18,326.9,7/23/18,326.9,7/26/18,426.9,7/30/18,568.1,8/2/18,704.7,8/5/18,767.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2017,3/20/18,R,MFP,12wks,NRG,X0847-2112251,VBA0847,SA919,7,Primary tumor,Naïve (pretreated for other breast cancer 15+ years ago),,,Yes,No,Jul-15,"Bone, Peritoneum",2487,HL180320,Matrigel leaked during injection,,"Visible mass on neck (c-spine) area on Sep24/18/PTR on Jun23/18, hard mass not attached to skin, easy to remove. minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, cervical mass without attachment to spine. Another mass at paraspinal left lumbar area, firmly attached to spine. FFPE:brain, lung, liver, cervical mass(10x8x8, 4x4x2), paraspinal mass(10x8x8), FFx1, VFx1 for all, VFx1 for DLP of cervical, paraspinal mass
lab collector ID: cervical mets=5691, lumbar mets=5692
Primary tumor VF submitted for DLP(Jan7/19), lab collector ID = 5402
Initial material = VF 4620 ( ), 4621, 4622, TP 4618, 4619","Primary tumor = SA919X7XB05402
Cervical mass = SA919X7XB05691
Lumbar mass = SA919X7XB05692","Primary tumor = SA919X7XB05402 (Lab ID=5403)
Cervical mass = SA919X7XB05691 (Lab ID=5633)
Lumbar mass = SA919X7XB05692 (Lab ID=5634)",,"Tumour cells in cervical (NeckM) and lumbar (SpinM) mass. No metastatic cells in liver, lung, brain.",100,5/16/18,non-palpable,5/23/18,6/25/18,7/23/18,10/15/18,11/12/18,10/4/18,9 weeks,27wks,9/26/18,,,,,6/25/18,96.0,6/28/18,206.4,7/3/18,236.3,7/5/18,244.9,7/9/18,346.1,7/12/18,490.9,7/16/18,610,7/19/18,658,7/23/18,918.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2017,3/20/18,L,MFP,12wks,NRG,X0847-2112252,VBA0847,SA919,7,Primary tumor,Naive,,,Yes,No,Jul-15,"Bone, Peritoneum",2488,HL180320,"Matrigel leaked during injection
Wound dehiscence, resutured.","Wound dehiscence, resutured","Head tilt to right, visible mass on neck (c-spine) area, hunched and thin on Sep24/18,  PTR on Jun26/18, hard mass not attached to skin, easy to remove. minor bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, cervical mass without attachment to spine.
FFPE:brain,lung,liver,cervical mass, Brain:FFx1,VFx1, Lung:FFx1,VFx1, cervical mass:12x10x10, TPx2,FFx1,VFx2
Primary, cervical mets for DLP on Apr11/19","Primary tumor = SA919X7XB05378 (Box3, A5)
Cervical mass = SA919X7XB05604 (Box5, H8)","Primary tumor = SA919X7XB05378 
Cervical mass = SA919X7XB05604",,"Tumour cells in cervical (NeckM) mass. No metastatic cells in liver, lung, brain.",100,5/16/18,non-palpable,,5/21/18,6/26/18,9/18/18,10/16/18,9/28/18,13 weeks,27wks,9/26/18,,8/21/18,,,5/21/18,27.1,5/24/18,83.4,5/28/18,93.0,31/05/2018,215.7,04/06/2018,215.7,6/7/18,227.8,6/11/18,227.8,6/14/18,284.7,6/18/18,401.5,6/21/18,548,6/25/18,616.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2017,3/20/18,B,MFP,12wks,NRG,X0847-2112253,VBA0847,SA919,7,Primary tumor,Naive,,,Yes,No,Jul-15,"Bone, Peritoneum",2489,HL180320,"Wound dehiscence, resutured.","Wound dehiscence, resutured","Hunched, dragging both hind legs on Sep24/18. PTR on Jun17/18, hard mass not attached to skin, easy to remove. minimal bleeding during surgery.","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, Metastatic mass on right side of lumbar spine, outside of peritoneum, passaged. FFPE:brain,lung,liver,back mass, Brain:FFx1,VFx1, Lung:FFx1, VFx1, Liver:FFx1, Backmass:FFx1,VFx1, serial transplant
Primary submitted for DLP Aug 15/19","Primary tumor = SA919X7XB05298 (Box2, E2)
Lumbar mass = SA919X7XB05588 (Box5, G1) - use FF for DLP",,,"Tumour cells in lumbar spinal mass(Bone). No metastatic cells in liver, lung, brain.",100,5/16/18,grainy palpable,,5/21/18,6/17/18,9/9/18,10/7/18,9/24/18,15 weeks,27wks,,,8/12/18,,,5/21/18,62.4,5/24/18,125.9,5/28/18,132.1,31/05/2018,256.3,04/06/2018,354.2,6/7/18,422.8,6/11/18,492.8,6/14/18,782.7,6/17/18,1037.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2017,3/20/18,N,MFP,12wks,NRG,X0847-2112254,VBA0847,SA919,7,Primary tumor,Naive,,,Yes,No,Jul-15,"Bone, Peritoneum",2490,HL180320,,,"Hunched and thin on Sep24/18, PTR on Jun12/18, hard mass not attached to skin, easy to remove. minor bleeding during surgery.","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, Metastatic mass on lumbar spine, outside of peritoneum, similar to HL180320B. Subcutaneous mass (1mm) on back, no involvement of spine. FFPE:brain,lung,liver,back(SQ) mass, lumbar mass, Brain:FFx1,VFx1, Lung:FFx1, VFx1, Liver:FFx1, VFx1, lumbar mass: 6x6x4, FFx1, VFx1 
Primary submitted for DLP Aug 15/19","Primary tumor = SA919X7XB05289 (Box2, D2)
Lumbar mass = SA919X7XB05608 (Box5, I3) - use FF for DLP",,,"Tumour cells in lumbar spinal mass(SpineM). Neck mass does not seem to be tumour mass. No metastatic cells in liver, lung, brain.",100,5/16/18,non-palpable,,5/21/18,6/12/18,9/4/18,10/2/18,9/30/18,15 weeks,27wks,"22/08/2018, 26/09/2018",,8/7/18,,,5/21/18,124.2,5/24/18,158.9,5/28/18,232.8,31/05/2018,302.1,04/06/2018,517.6,6/7/18,603.8,6/11/18,788.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2018,3/26/18,R,MFP,12wks,NRG,X0011-2361,CBX011,SA535,4,Primary tumor,Naive,,,No,No,,,2495,HL180326,"regular suture without gluture, wound dehiscence, resutured.","Wound dehiscence, resutured","PTR on Jul 17/18, Hard mass, 16x12x6, easily removed, minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis. Huge metastatic mass on left axillary area, possibly LN (ALN). Hard recurred mass on left MFP area, firmly attached to surroundings, possible invasion to muscle and spine.
FFPEx1:Brain, Liver, Lung, ALN, Tumor recur (No FFPE for primary)
Tumor recur:FFx2, TPx2, VFx4, REMx1
ALN:FFx1, TPx2, VFx5, REMx1
Lung:FFx2, VFx2, Liver:FFx2, VFx2, Brain:FFx1, VFx1
Primary tumor VFx1 submitted for DLP (Jan7/19) lab collector ID=5391 (SA535X0011XB5391), AxiM VF submitted for DLP (Feb14/19). 
Initial material = VF 7799 (VP1, 3-303, Rack29-11), TP 7798
Tumor recur for DLP on Apr9/19","Primary tumor = SA535X4XB05391
Tumor recur = SA535X4XB05730 (Box7, E2/ 5730, E3, Rack26)
: There was not enough cells in VF, VF seem to lack FBS. TPx2 and FF (for nuclei) submitted for DLP again on May17/19
Axillary mets = SA535X4XB05723",Primary tumor = SA535X4XB05391 (Lab ID=5392),,"Tumour cells in ALN, recurred tumour. Micrometastasis in lung, weird looking cells in spleen. No metastatic cells in liver, brain.",500,5/16/18,grainy palpable,5/23/18,24/05/2018,7/17/18,10/9/18,11/7/18,11/14/18,16 weeks,32 weeks,11/7/18,,,,,5/24/18,18.7,5/28/18,18.7,5/31/18,18.7,04/06/2018,18.7,6/7/18,25.5,6/11/18,48.1,6/14/18,83.9,6/18/18,100.8,6/21/18,195.6,6/25/18,223.7,6/28/18,356.9,7/3/18,371.9,7/5/18,413.3,7/9/18,596.3,7/12/18,608.4,7/16/18,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2018,3/26/18,L,MFP,12wks,NRG,X0011-2362,CBX011,SA535,4,Primary tumor,Naive,,,No,No,,,2496,HL180326,"regular suture without gluture, minor wound dehiscence",minor wound dehiscence,"PTR on Oct 10/18, Hard mass, 12x10x10, easily removed, minor bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis.
Huge mass in left inguinal area (14x12x10). Metastatic mass in both axillary area (10x8x6). 
Inguinal mass: FFPEx1, FFx2, VFx4
left and right axillary mass: FFPEx1, FFx1, VFx2
Lung: FFPEx1, other lobe processed to make single cell suspension
lung + tumor cells = 2.6 x 10^6  
vs tumor cells (mouse depletion, cold protease) = 2.7 x 10^5 -> kept as VF(9117) submitted for DLP (Mar5/19)
Rt.axillart mets submitted for DLP (Apr9/19), Prim, Lt.axillary submitted for DLP (Jun13/19)","Primary tumor = SA535X4XB05649 (Box6, D8) : low cells, additional vial needed -> FF
Lung mets after depletion = SA535X4XB09117 (only 4 cells) (low tumor burden?)
Rt Axillary mets = SA535X4XB09106 (Box15, C7)
Lt Axillary mets = SA535X4XB09109 (Box15, D1) : low cells, additional vial needed -> FF
Inguinal mets = SA535X4XB09113 (Box15, D5)",,,Tumour cells in lung,500,5/16/18,non-palpable,5/23/18,6/14/18,10/10/18,1/2/19,1/30/19,2/13/19,18 weeks,46 weeks,12/11/18,,,,,6/14/18,33.3,6/18/18,41.6,6/21/18,56.9,6/25/18,81.9,6/28/18,95.5,7/3/18,110.2,7/5/18,121.7,7/9/18,121.7,7/12/18,185.1,7/16/18,221.7,7/19/18,221.7,7/23/18,221.7,7/26/18,242.8,7/30/18,242.8,8/2/18,242.8,8/7/18,500.8,8/9/18,500.8,8/13/18,254.3,8/16/18,283.7,8/20/18,305.2,8/23/18,324.5,8/28/18,376.1,8/30/18,376.1,9/4/18,390.7,9/6/18,390.7,9/10/18,398.2,9/13/18,456.4,9/17/18,594.1,9/20/18,485.7,9/24/18,485.7,9/27/18,567.9,10/1/18,667.5,10/4/18,667.5,10/9/18,667.5,,,,,,,,,,
05/01/2018,3/26/18,B,MFP,12wks,NRG,X0011-2363,CBX011,SA535,4,Primary tumor,Naive,,,No,No,,,2497,HL180326,"regular suture without gluture, Matrigel slightly leaked during injection",,"PTR on Aug 7/18, Hard mass","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, Enlarged spleen with focal mass, Metastatic mass on left axillary area, possibly LN (ALN). Hard recurred mass on left MFP area, firmly attached to surroundings, possible invasion to muscle and spine, Subcutaneous mass (1mm) near recurrent mass (MLN). FFPE:brain,lung,liver,tumor recur, ALN, MLN
Brain, lung, liver:FFx1,VFx1, TuRec: 12x12x10, FFPEx1, FFx1, FF_ARCx1, TPx2, VFx4, REMx1, ALN:12x6x1, FFx1, VFx1 
Tumor recur, Axillary mets submitted for DLP on Jun27/19, FF-TR submitted for DLP nuclei on Jul3/19","Primary tumor = SA535X4XB05462 (Box4, A8)
Tumor recur = SA535X4XB05662 (Box6, F3) - very low viability, -> FF (nuclei)
Axillary mets = SA535X4XB05667 (Box6, F8)
Lung mets = SA535X4XB05669 (Box6, G1)",,,"Tumour cells in ALN, MLN. Micrometastatic cells in lung. Osteocytic lesion in spleen. No metastatic cells in liver, brain.",500,5/16/18,grainy palpable,5/23/18,5/21/15,8/7/18,10/30/18,11/27/18,10/14/18,7 weeks,26 weeks,9/26/18,,,,,5/21/18,14.0,5/24/18,69.9,5/28/18,73.7,31/05/2018,121.3,04/06/2018,121.3,6/7/18,121.3,6/11/18,142.7,6/14/18,149.1,6/18/18,164,6/21/18,164,6/25/18,209.7,6/28/18,226.4,7/3/18,226.4,7/5/18,302.8,7/9/18,302.8,7/12/18,390.6,7/16/18,481.2,7/19/18,481.2,7/23/18,481.2,7/26/18,565.7,7/30/18,570.8,8/2/18,651,8/7/18,663.7,9/20/18,342.3,9/24/18,346.1,10/1/18,517.6,10/4/18,539.4,10/9/18,539.4,10/11/18,724.5,,,,,,,,,,,,,,,,,,,,
05/01/2018,3/26/18,N,MFP,12wks,NRG,X0011-2364,CBX011,SA535,4,Primary tumor,Naive,,,No,No,,,2498,HL180326,"regular suture without gluture, minor wound dehiscence",minor wound dehiscence,"PTR on Jul 30/18, Hard mass, 14x12x10, easily removed, minimal bleeding","Distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen. Metastatic mass on left axillary area (12x10x8), possibly LN (ALN) and left inguinal area (10x8x8), similar characteristics.
FFPE:brain,lung,liver,axillary mass, inguinal mass
AxiM:FFx1,TPx2,VFx4
IngM, brain, lung, liver: FFx2, VFx2
Axillary, Inguinal submitted for DLP on Jul 2/19","Primary tumor =  SA535X4XB05420 (Box3, F2) -> 3VF for Farhia, Farhia submitted as XB02498, low cell number -> FF
Axillary mets = SA535X4XB05985 (Box10, D1)
Inguinal mets = SA535X4XB05989 (Box10, D5)
Lung mets = SA535X4XB05993 (Box10, D9)",,,"Tumor cells in Axillary, Inguinal mass. Micrometastasis (less extensive) in lung. No metastatic cells in liver, brain.",500,5/16/18,non-palpable,5/23/18,6/25/18,7/30/18,10/22/18,11/19/18,12/7/18,18 weeks,36 weeks,,,,,,6/25/18,272.9,6/28/18,276.2,7/3/18,276.2,7/5/18,302.8,7/9/18,316.2,7/12/18,346.1,7/16/18,392.7,7/19/18,412.6,7/23/18,462.1,7/26/18,736.2,7/30/18,782.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,4/3/18,R,MFP,12wks,NRG,X0028-121D1323411,CBX028,SA609,11,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2518,HL180403,"SQ + regular suture from here/soft and fragile tumor, residual MFP removed. ",,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis",,,,"Negative for metastasis in liver, lung, brain.",500,5/16/18,palpable,5/23/18,5/8/18,5/8/18,7/31/18,8/28/18,9/5/18,,,,,7/3/18,,,5/8/18,454.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,4/3/18,L,MFP,12wks,NRG,X0028-121D1323412,CBX028,SA609,11,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2519,HL180403,"Matrigel leaked during injection/Huge tumor, soft but not attached to skin, residual MFP removed, possibility of remnant tumor cells b/c soft, fragile tumor",,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis, tumour recur",,,,"Negative for metastasis in liver, lung, brain.",500,5/16/18,palpable,5/23/18,5/8/18,5/8/18,7/31/18,8/28/18,6/8/18,,,,,7/3/18,,,5/8/18,1669.5,5/31/18,27.5(recurred),6/4/18,311.7,6/7/18,1047.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,4/3/18,B,MFP,12wks,NRG,X0028-121D1323413,CBX028,SA609,11,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2520,HL180403,"soft and fragile tumor, residual MFP removed. ",,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis",,,,"Negative for metastasis in liver, lung, brain.",500,5/16/18,palpable,5/23/18,5/8/18,5/8/18,7/31/18,8/28/18,8/28/18,,,8/22/18,,7/3/18,,,5/8/18,528.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2018,4/3/18,N,MFP,12wks,NRG,X0028-121D1323414,CBX028,SA609,11,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2521,HL180403,"Matrigel leaked during injection/PTR on May18,2018; tumor removed without rupture. residual MFP removed.",,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis",,,,"Negative for metastasis in liver, lung, brain.",500,5/16/18,palpable,,5/17/18,5/18/18,8/10/18,9/7/18,8/28/18,,,8/22/18,,7/13/18,,,5/18/18,758.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2018,4/24/18,R,MFP,13wks,NRG,X0038-1246159671,CBX038,SA604,10,Primary tumor,Naive,16-Jul-13,40,Yes,No,Mar-14,"Bone, Liver",2577,HL180424,,,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen",,,,"Negative for metastasis in liver, lung, brain.",500,5/28/18,palpable,,31/05/2018,6/25/18,9/17/18,10/15/18,12/6/18,,,9/26/18,,,,,5/31/18,65.0,6/4/18,86.5,6/7/18,132.9,6/11/18,175.5,6/14/18,256.3,6/18/18,341.2,6/21/18,421.2,6/25/18,759.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2018,4/24/18,L,MFP,13wks,NRG,X0038-1246159672,CBX038,SA604,10,Primary tumor,Naive,16-Jul-13,40,Yes,No,Mar-14,"Bone, Liver",2578,HL180424,,,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen",,,,"Negative for metastasis in liver, lung, brain.",500,5/28/18,palpable,,31/05/2018,6/23/18,9/15/18,10/13/18,12/6/18,,,,,,,,5/31/18,55.1,6/4/18,59.9,6/7/18,195.5,6/11/18,214,6/14/18,272.6,6/18/18,484.3,6/21/18,638.2,6/23/18,939.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2018,4/24/18,B,MFP,13wks,NRG,X0038-1246159673,CBX038,SA604,10,Primary tumor,Naive,16-Jul-13,40,Yes,No,Mar-14,"Bone, Liver",2579,HL180424,,,"Euthanized Nov20/18 due to time (over 16wks after PTR), No grossly abnormal findings",,,,,"Negative for metastasis in liver, lung, brain.",500,5/28/18,palpable,,31/05/2018,6/18/18,9/10/18,10/8/18,11/20/18,,,"22/08/2018, 26/09/2018",,8/13/18,,,5/31/18,83.4,6/4/18,191.1,6/7/18,326,6/11/18,598,6/14/18,598,6/18/18,973.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
